GEO_ID,Geographic Area Name,Total Population,Preschool,Gradeschooler,Teen,Old People,White,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Preschool Percent,Gradeschooler Percent,Teen Percent,Old People Percent,White Percent,Black or African American alone Percent,Asian alone Percent
1500000US550019501001,"Block Group 1, Census Tract 9501, Adams County, Wisconsin",1017,33,59,15,508,974,0,3,0,0,0,0.032448378,0.058013766,0.014749263,0.499508358,0.957718781,0,0
1500000US550019501002,"Block Group 2, Census Tract 9501, Adams County, Wisconsin",691,5,38,24,420,691,0,0,0,0,0,0.00723589,0.054992764,0.034732272,0.607814761,1,0,0
1500000US550019501003,"Block Group 3, Census Tract 9501, Adams County, Wisconsin",1237,47,74,34,787,1230,0,0,0,0,0,0.03799515,0.05982215,0.027485853,0.636216653,0.994341148,0,0
1500000US550019502011,"Block Group 1, Census Tract 9502.01, Adams County, Wisconsin",1233,34,86,72,514,1189,0,13,0,0,3.29E-06,0.02757502,0.069748581,0.058394161,0.416869424,0.96431468,0,0
1500000US550019502021,"Block Group 1, Census Tract 9502.02, Adams County, Wisconsin",798,20,61,66,323,783,14,1,0,0,0,0.025062657,0.076441103,0.082706767,0.404761905,0.981203008,0.01754386,0
1500000US550019502022,"Block Group 2, Census Tract 9502.02, Adams County, Wisconsin",797,12,82,34,382,748,0,15,0,0,0,0.015056462,0.102885822,0.042659975,0.479297365,0.938519448,0,0
1500000US550019502023,"Block Group 3, Census Tract 9502.02, Adams County, Wisconsin",991,23,92,22,432,948,2,8,4,0,1.73E-05,0.02320888,0.09283552,0.022199798,0.43592331,0.956609485,0.002018163,0.004036327
1500000US550019504001,"Block Group 1, Census Tract 9504, Adams County, Wisconsin",719,16,64,58,285,677,2,0,10,0,5.42E-05,0.022253129,0.089012517,0.080667594,0.396383866,0.941585535,0.002781641,0.013908206
1500000US550019504002,"Block Group 2, Census Tract 9504, Adams County, Wisconsin",1096,37,131,38,297,956,4,0,106,0,2.25E-05,0.033759124,0.119525547,0.034671533,0.270985401,0.872262774,0.003649635,0.096715328
1500000US550019504003,"Block Group 3, Census Tract 9504, Adams County, Wisconsin",977,64,126,32,295,927,8,0,0,0,0,0.065506653,0.128966223,0.032753327,0.301944729,0.948822927,0.008188332,0
1500000US550019504004,"Block Group 4, Census Tract 9504, Adams County, Wisconsin",1807,47,192,88,636,1615,42,0,0,0,1.29E-05,0.026009961,0.106253459,0.048699502,0.351964582,0.893746541,0.023242944,0
1500000US550019505011,"Block Group 1, Census Tract 9505.01, Adams County, Wisconsin",878,25,81,35,285,847,21,0,0,0,0,0.028473804,0.092255125,0.039863326,0.324601367,0.964692483,0.023917995,0
1500000US550019505012,"Block Group 2, Census Tract 9505.01, Adams County, Wisconsin",720,44,37,38,382,710,0,3,0,0,0,0.061111111,0.051388889,0.052777778,0.530555556,0.986111111,0,0
1500000US550019505021,"Block Group 1, Census Tract 9505.02, Adams County, Wisconsin",2329,61,178,34,519,1714,358,85,7,0,1.83E-05,0.026191498,0.076427651,0.01459854,0.222842422,0.735938171,0.15371404,0.003005582
1500000US550019505022,"Block Group 2, Census Tract 9505.02, Adams County, Wisconsin",1256,44,88,62,455,1202,14,15,0,0,2.54E-06,0.035031847,0.070063694,0.049363057,0.362261146,0.957006369,0.011146497,0
1500000US550019507001,"Block Group 1, Census Tract 9507, Adams County, Wisconsin",1031,29,52,39,425,994,15,19,0,2.82E-06,0,0.028128031,0.050436469,0.037827352,0.412221145,0.964112512,0.014548982,0
1500000US550019507002,"Block Group 2, Census Tract 9507, Adams County, Wisconsin",1027,30,141,45,362,1020,0,0,0,0,0,0.029211295,0.137293087,0.043816943,0.35248296,0.993184031,0,0
1500000US550019507003,"Block Group 3, Census Tract 9507, Adams County, Wisconsin",1490,80,150,83,492,1396,72,0,5,0,6.31E-06,0.053691275,0.100671141,0.055704698,0.330201342,0.936912752,0.048322148,0.003355705
1500000US550039400001,"Block Group 1, Census Tract 9400, Ashland County, Wisconsin",2080,174,453,158,340,736,23,1250,11,0,0,0.083653846,0.217788462,0.075961538,0.163461538,0.353846154,0.011057692,0.005288462
1500000US550039503001,"Block Group 1, Census Tract 9503, Ashland County, Wisconsin",1998,28,228,101,490,1785,2,111,7,0,0,0.014014014,0.114114114,0.050550551,0.245245245,0.893393393,0.001001001,0.003503504
1500000US550039503002,"Block Group 2, Census Tract 9503, Ashland County, Wisconsin",810,120,97,32,158,686,3,61,19,0,3.05E-06,0.148148148,0.119753086,0.039506173,0.195061728,0.84691358,0.003703704,0.02345679
1500000US550039504001,"Block Group 1, Census Tract 9504, Ashland County, Wisconsin",1054,0,128,59,380,919,29,87,0,5.40E-06,0,0,0.121442125,0.05597723,0.360531309,0.871916509,0.027514231,0
1500000US550039504002,"Block Group 2, Census Tract 9504, Ashland County, Wisconsin",530,58,66,67,94,506,0,24,0,0,0,0.109433962,0.124528302,0.126415094,0.177358491,0.954716981,0,0
1500000US550039504003,"Block Group 3, Census Tract 9504, Ashland County, Wisconsin",584,0,4,53,219,565,0,19,0,0,0,0,0.006849315,0.090753425,0.375,0.967465753,0,0
1500000US550039505001,"Block Group 1, Census Tract 9505, Ashland County, Wisconsin",1377,98,229,115,302,1275,1,45,0,0,4.75E-06,0.071169208,0.166303558,0.083514887,0.219317357,0.925925926,0.000726216,0
1500000US550039505002,"Block Group 2, Census Tract 9505, Ashland County, Wisconsin",757,50,123,42,238,733,0,19,2,0,0,0.066050198,0.162483487,0.055482166,0.314398943,0.968295905,0,0.002642008
1500000US550039506001,"Block Group 1, Census Tract 9506, Ashland County, Wisconsin",749,28,92,60,280,702,0,36,6,0,8.91E-06,0.037383178,0.122830441,0.080106809,0.373831776,0.937249666,0,0.008010681
1500000US550039506002,"Block Group 2, Census Tract 9506, Ashland County, Wisconsin",510,23,56,16,185,498,0,8,0,0,0,0.045098039,0.109803922,0.031372549,0.362745098,0.976470588,0,0
1500000US550039507001,"Block Group 1, Census Tract 9507, Ashland County, Wisconsin",587,15,30,32,250,583,0,2,0,0,0,0.025553663,0.051107325,0.05451448,0.425894378,0.99318569,0,0
