,GEO_ID,Total Education Population,Enrolled at school,Total Family,under poverty level
0,1500000US550250001001,903,209,239,8
1,1500000US550250001002,1570,378,336,0
2,1500000US550250002011,1238,260,352,21
3,1500000US550250002012,787,118,232,0
4,1500000US550250002021,1061,164,356,10
5,1500000US550250002022,2065,544,527,5
6,1500000US550250002041,1223,340,419,89
7,1500000US550250002042,1388,261,391,0
8,1500000US550250002043,2817,593,722,108
9,1500000US550250002051,2525,520,814,0
10,1500000US550250002052,1208,241,426,0
11,1500000US550250002053,1190,184,278,0
12,1500000US550250003001,2465,921,444,13
13,1500000US550250003002,1100,310,281,14
14,1500000US550250003003,1185,400,338,14
15,1500000US550250003004,1062,332,208,45
16,1500000US550250004011,2217,585,611,4
17,1500000US550250004012,990,243,300,0
18,1500000US550250004021,1214,290,379,0
19,1500000US550250004022,1348,333,373,8
20,1500000US550250004051,867,195,194,17
21,1500000US550250004052,1052,155,109,0
22,1500000US550250004053,1995,417,434,0
23,1500000US550250004054,2779,839,709,15
24,1500000US550250004061,3168,473,643,10
25,1500000US550250004071,1507,325,424,40
26,1500000US550250004072,1860,623,495,202
27,1500000US550250004073,1252,202,382,11
28,1500000US550250004074,723,134,225,23
29,1500000US550250004081,1325,94,232,27
30,1500000US550250004082,510,58,62,5
31,1500000US550250005011,1439,268,453,28
32,1500000US550250005012,687,296,183,0
33,1500000US550250005013,849,61,267,0
34,1500000US550250005014,1197,188,209,0
35,1500000US550250005031,346,56,93,0
36,1500000US550250005032,1644,503,436,37
37,1500000US550250005033,1979,296,440,0
38,1500000US550250005034,598,188,182,0
39,1500000US550250005035,2128,664,495,48
40,1500000US550250005041,1241,251,353,0
41,1500000US550250005042,1343,242,320,0
42,1500000US550250005043,2912,912,846,0
43,1500000US550250005044,1346,382,330,28
44,1500000US550250006001,2156,906,512,26
45,1500000US550250006002,2254,644,455,0
46,1500000US550250006003,1400,467,329,61
47,1500000US550250007001,769,195,229,0
48,1500000US550250007002,1023,193,324,0
49,1500000US550250007003,1189,299,327,0
50,1500000US550250008001,1275,592,211,23
51,1500000US550250008002,1285,318,377,0
52,1500000US550250008003,1150,257,294,9
53,1500000US550250009011,1133,357,315,0
54,1500000US550250009012,1039,337,313,23
55,1500000US550250009021,1286,1006,87,12
56,1500000US550250009022,930,379,209,34
57,1500000US550250009023,2235,1498,159,0
58,1500000US550250009024,1438,465,364,13
59,1500000US550250010001,1524,762,324,4
60,1500000US550250010002,996,244,275,12
61,1500000US550250011011,2416,2083,11,11
62,1500000US550250011012,2674,2346,30,20
63,1500000US550250011021,933,909,0,0
64,1500000US550250011022,2782,2782,0,0
65,1500000US550250012001,847,224,121,15
66,1500000US550250012002,1335,558,176,51
67,1500000US550250012003,2238,1276,345,0
68,1500000US550250012004,2055,1105,166,0
69,1500000US550250013001,1784,390,398,60
70,1500000US550250013002,693,174,159,32
71,1500000US550250014011,1848,464,244,80
72,1500000US550250014012,1618,697,280,0
73,1500000US550250014013,2155,737,496,51
74,1500000US550250014014,806,211,175,20
75,1500000US550250014021,1247,338,244,0
76,1500000US550250014022,543,60,198,0
77,1500000US550250014023,2180,763,627,132
78,1500000US550250014024,640,94,172,0
79,1500000US550250014031,2861,802,901,0
80,1500000US550250014032,2540,781,564,154
81,1500000US550250014033,3272,616,737,86
82,1500000US550250015011,1173,257,266,59
83,1500000US550250015012,548,51,135,14
84,1500000US550250015021,910,139,139,57
