GEO_ID,Total Education Population,Enrolled at school,Total Family,under poverty level,Education Percentage,Poverty Percentage
1500000US550250001001,903,209,239,8,0.23145072,0.033472803
1500000US550250001002,1570,378,336,0,0.240764331,0
1500000US550250002011,1238,260,352,21,0.210016155,0.059659091
1500000US550250002012,787,118,232,0,0.149936468,0
1500000US550250002021,1061,164,356,10,0.154571159,0.028089888
1500000US550250002022,2065,544,527,5,0.263438257,0.009487666
1500000US550250002041,1223,340,419,89,0.278004906,0.212410501
1500000US550250002042,1388,261,391,0,0.188040346,0
1500000US550250002043,2817,593,722,108,0.210507632,0.149584488
1500000US550250002051,2525,520,814,0,0.205940594,0
1500000US550250002052,1208,241,426,0,0.199503311,0
1500000US550250002053,1190,184,278,0,0.154621849,0
1500000US550250003001,2465,921,444,13,0.373630832,0.029279279
1500000US550250003002,1100,310,281,14,0.281818182,0.049822064
1500000US550250003003,1185,400,338,14,0.337552743,0.041420118
1500000US550250003004,1062,332,208,45,0.312617702,0.216346154
1500000US550250004011,2217,585,611,4,0.263870095,0.006546645
1500000US550250004012,990,243,300,0,0.245454545,0
1500000US550250004021,1214,290,379,0,0.238879736,0
1500000US550250004022,1348,333,373,8,0.247032641,0.021447721
1500000US550250004051,867,195,194,17,0.224913495,0.087628866
1500000US550250004052,1052,155,109,0,0.147338403,0
1500000US550250004053,1995,417,434,0,0.209022556,0
1500000US550250004054,2779,839,709,15,0.301907161,0.021156559
1500000US550250004061,3168,473,643,10,0.149305556,0.0155521
1500000US550250004071,1507,325,424,40,0.215660252,0.094339623
1500000US550250004072,1860,623,495,202,0.334946237,0.408080808
1500000US550250004073,1252,202,382,11,0.161341853,0.028795812
1500000US550250004074,723,134,225,23,0.185338866,0.102222222
1500000US550250004081,1325,94,232,27,0.070943396,0.11637931
1500000US550250004082,510,58,62,5,0.11372549,0.080645161
1500000US550250005011,1439,268,453,28,0.186240445,0.061810155
1500000US550250005012,687,296,183,0,0.430858806,0
1500000US550250005013,849,61,267,0,0.071849234,0
1500000US550250005014,1197,188,209,0,0.157059315,0
1500000US550250005031,346,56,93,0,0.161849711,0
1500000US550250005032,1644,503,436,37,0.305961071,0.084862385
1500000US550250005033,1979,296,440,0,0.14957049,0
1500000US550250005034,598,188,182,0,0.314381271,0
1500000US550250005035,2128,664,495,48,0.312030075,0.096969697
1500000US550250005041,1241,251,353,0,0.202256245,0
1500000US550250005042,1343,242,320,0,0.180193596,0
1500000US550250005043,2912,912,846,0,0.313186813,0
1500000US550250005044,1346,382,330,28,0.283803863,0.084848485
1500000US550250006001,2156,906,512,26,0.420222635,0.05078125
1500000US550250006002,2254,644,455,0,0.285714286,0
1500000US550250006003,1400,467,329,61,0.333571429,0.185410334
1500000US550250007001,769,195,229,0,0.253576073,0
1500000US550250007002,1023,193,324,0,0.188660802,0
1500000US550250007003,1189,299,327,0,0.251471825,0
1500000US550250008001,1275,592,211,23,0.464313725,0.109004739
1500000US550250008002,1285,318,377,0,0.247470817,0
1500000US550250008003,1150,257,294,9,0.223478261,0.030612245
1500000US550250009011,1133,357,315,0,0.315092674,0
1500000US550250009012,1039,337,313,23,0.324350337,0.073482428
1500000US550250009021,1286,1006,87,12,0.782270607,0.137931034
1500000US550250009022,930,379,209,34,0.407526882,0.162679426
1500000US550250009023,2235,1498,159,0,0.670246085,0
1500000US550250009024,1438,465,364,13,0.323365786,0.035714286
1500000US550250010001,1524,762,324,4,0.5,0.012345679
1500000US550250010002,996,244,275,12,0.24497992,0.043636364
1500000US550250011011,2416,2083,11,11,0.862168874,1
1500000US550250011012,2674,2346,30,20,0.877337322,0.666666667
1500000US550250011021,933,909,0,0,0.974276527,
1500000US550250011022,2782,2782,0,0,1,
1500000US550250012001,847,224,121,15,0.26446281,0.123966942
1500000US550250012002,1335,558,176,51,0.417977528,0.289772727
1500000US550250012003,2238,1276,345,0,0.570151921,0
1500000US550250012004,2055,1105,166,0,0.537712895,0
1500000US550250013001,1784,390,398,60,0.218609865,0.150753769
1500000US550250013002,693,174,159,32,0.251082251,0.201257862
1500000US550250014011,1848,464,244,80,0.251082251,0.327868852
1500000US550250014012,1618,697,280,0,0.430778739,0
1500000US550250014013,2155,737,496,51,0.34199536,0.102822581
1500000US550250014014,806,211,175,20,0.2617866,0.114285714
1500000US550250014021,1247,338,244,0,0.271050521,0
1500000US550250014022,543,60,198,0,0.110497238,0
1500000US550250014023,2180,763,627,132,0.35,0.210526316
1500000US550250014024,640,94,172,0,0.146875,0
1500000US550250014031,2861,802,901,0,0.280321566,0
1500000US550250014032,2540,781,564,154,0.307480315,0.273049645
1500000US550250014033,3272,616,737,86,0.188264059,0.116689281
1500000US550250015011,1173,257,266,59,0.219096334,0.221804511
1500000US550250015012,548,51,135,14,0.093065693,0.103703704
1500000US550250015021,910,139,139,57,0.152747253,0.410071942
