"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"1500000US550250001001","Block Group 1, Census Tract 1, Dane County, Wisconsin","903","203","209","150","30","33","10","19","0","9","0","9","11","19","0","9","0","9","0","9","0","9","9","14","11","17","10","15","19","23","10","17","62","83","37","23","694","111"
"1500000US550250001002","Block Group 2, Census Tract 1, Dane County, Wisconsin","1570","206","378","146","0","9","40","41","9","14","0","9","0","9","0","9","9","13","0","9","32","39","13","20","0","9","0","9","12","19","9","16","81","55","173","120","1192","152"
"1500000US550250002011","Block Group 1, Census Tract 2.01, Dane County, Wisconsin","1238","136","260","107","29","23","8","12","18","21","30","29","18","19","0","9","11","15","8","12","18","19","11","15","4","7","20","18","0","9","6","10","63","55","16","17","978","93"
"1500000US550250002012","Block Group 2, Census Tract 2.01, Dane County, Wisconsin","787","94","118","49","21","23","0","9","0","9","0","9","9","14","7","11","0","9","0","9","8","15","0","9","8","12","15","17","7","11","8","12","11","13","24","21","669","81"
"1500000US550250002021","Block Group 1, Census Tract 2.02, Dane County, Wisconsin","1061","113","164","53","22","23","18","21","0","9","0","9","10","15","0","9","11","11","0","9","19","20","4","7","9","15","19","18","13","15","11","17","28","22","0","9","897","97"
"1500000US550250002022","Block Group 2, Census Tract 2.02, Dane County, Wisconsin","2065","211","544","155","13","15","24","29","3","6","0","9","21","21","6","11","38","41","33","27","17","17","15","18","0","9","13","12","43","32","12","14","151","104","155","77","1521","127"
"1500000US550250002041","Block Group 1, Census Tract 2.04, Dane County, Wisconsin","1223","405","340","232","24","26","0","9","53","73","23","25","9","17","0","9","18","29","18","29","62","72","22","37","9","14","24","40","20","31","0","9","58","80","0","9","883","262"
"1500000US550250002042","Block Group 2, Census Tract 2.04, Dane County, Wisconsin","1388","270","261","138","31","35","0","9","15","25","41","45","15","26","0","9","41","45","0","9","0","9","20","31","0","9","0","9","0","9","0","9","34","43","64","45","1127","177"
"1500000US550250002043","Block Group 3, Census Tract 2.04, Dane County, Wisconsin","2817","453","593","240","99","99","34","39","0","9","53","67","19","31","0","9","43","65","0","9","9","16","26","29","0","9","23","28","0","9","0","9","35","39","252","210","2224","365"
