,name,children,teenagers,seniors,white,black,asian,otherraces,latino,transport,geometry
0,Wexford Village Homeowners Association,120.288,493.682,390.936,2112.558,40.096,202.986,67.662,82.698,352,"POLYGON ((-89.50214087662148 43.08621446573186, -89.50218911610217 43.08471418672205, -89.50222293670137 43.08366235779985, -89.50225222528965 43.08275142653399, -89.50225965473867 43.08252038326936, -89.50229620509843 43.08116107183226, -89.50232216957025 43.08008115102048, -89.50236045937197 43.07846353721752, -89.50240385250545 43.07663015398509, -89.50292291867022 43.07663510337755, -89.50323625484322 43.07659995083804, -89.50342795853913 43.07655313836563, -89.5036140941919 43.07650768598589, -89.50382837858744 43.0764042745332, -89.5048640598613 43.07568733052096, -89.5049555299294 43.07562781085261, -89.50505063107889 43.07557143164145, -89.50517800022868 43.0755037047744, -89.50531060113788 43.07544160860987, -89.50544797245348 43.07538535858985, -89.50558963193124 43.0753351521712, -89.5057697032274 43.07528176178275, -89.50595460181925 43.07523813189381, -89.50614334460745 43.07520449272835, -89.50633493001652 43.07518102502421, -89.50646386176224 43.07517108487233, -89.50659330074511 43.07516575542797, -89.50749244425091 43.07515404750466, -89.50750349102609 43.07530725027368, -89.507526414917 43.0759103488378, -89.50753550481359 43.07614948134324, -89.50756851504603 43.07648539753939, -89.50766002984541 43.07684980329973, -89.50857935001567 43.07680001996013, -89.50907606775057 43.07682609361694, -89.50933273348741 43.07685185931638, -89.50998299855317 43.07700693538395, -89.51046152227912 43.07677245078396, -89.51073162599738 43.07683910814831, -89.5107886971157 43.07679568355558, -89.51038407804404 43.0764319521361, -89.50981722658193 43.07580054768187, -89.50954549022575 43.07530129009687, -89.50953907412709 43.07512782987394, -89.50993815140244 43.07512271366512, -89.50994334124206 43.07529218285051, -89.51015472700057 43.07567601439417, -89.51068014914797 43.07626456202743, -89.5112142020578 43.0767401610108, -89.51159741449598 43.07700194618094, -89.51226926115268 43.077102936747, -89.51344691295932 43.07723494572286, -89.5139211566941 43.07601758835125, -89.51390159818702 43.07507182096887, -89.51420434152354 43.07506889575355, -89.51641683591974 43.07505024270094, -89.51700417009509 43.0750452833987, -89.51867391197273 43.07503116907601, -89.52102054649241 43.07495765694701, -89.52180365205041 43.0749562788811, -89.52194572200422 43.07495602826604, -89.5217440732705 43.07798490922832, -89.52158132717334 43.0816729675219, -89.52147094534112 43.08384806379193, -89.52147093462617 43.08384827262476, -89.52133645971641 43.08384593816523, -89.52109805364532 43.08384179865567, -89.52007282244887 43.08382523567969, -89.5199325167665 43.08382424120585, -89.51979416608887 43.08382326019539, -89.51947793865614 43.08381560661648, -89.51921559559942 43.08380925577022, -89.51895233647242 43.08380288169433, -89.51863301088396 43.0837951500905, -89.51829052563339 43.08378685827005, -89.51807059878148 43.08378181484545, -89.5174397552228 43.08377393529056, -89.51727427403451 43.08377186757453, -89.5171776506286 43.08377065882298, -89.51715603249039 43.08377038872161, -89.5168205405248 43.08394457598799, -89.51669706619018 43.08400868148104, -89.51641693781157 43.08415412481261, -89.51613268157354 43.0843017067811, -89.51601824909254 43.08436111458982, -89.51552040838131 43.08461958501589, -89.51545036335982 43.08465594947451, -89.51544552509144 43.08465846109733, -89.51501600584341 43.08455983494218, -89.51487440710919 43.08452732096551, -89.51481622316756 43.08452939417362, -89.51447071856451 43.08454170928717, -89.51411152339931 43.0845545105023, -89.51383261204187 43.08480880386848, -89.51374019621063 43.08489306336967, -89.51349811085028 43.08511377607945, -89.51341566327193 43.08518894624266, -89.51328137172493 43.08531138141047, -89.51309385713482 43.08548233723278, -89.51300822200822 43.08554349685139, -89.51292178564567 43.08560522770416, -89.51210114338235 43.08599150982924, -89.5119499580772 43.08599018107201, -89.51169585804406 43.08599498488182, -89.51048578530829 43.08601786067098, -89.50748085931349 43.08607461320122, -89.50720566006905 43.08607980709922, -89.5070748330905 43.08608728767892, -89.50695643907495 43.08609405772791, -89.50626995985427 43.08611123638642, -89.50602246890536 43.08611742600665, -89.50567677675514 43.08612607469455, -89.50526865022344 43.08613628432028, -89.50489055199576 43.08614573902697, -89.50467047970413 43.08615124074501, -89.50427437134179 43.0861611447359, -89.50393283427621 43.08616968346708, -89.5034480561402 43.08618180179872, -89.50283362836373 43.0861971589036, -89.50228905066301 43.0862107644846, -89.50214087662148 43.08621446573186))"
1,Oakbridge Community Neighborhood Association,17.493,67.571,22.295,279.545,12.691,34.643,6.174,9.947,140,"POLYGON ((-89.5173935758485 43.0645489328242, -89.51738367966685 43.06407094588119, -89.5178438438039 43.06406412743023, -89.51873154424111 43.06405896898293, -89.51903762211406 43.06401439557545, -89.51917686820231 43.06397930861115, -89.51946254712146 43.06387859021275, -89.51954993534423 43.06382973114142, -89.51970681408072 43.06374201830855, -89.51986046391552 43.06359947093017, -89.51991861374302 43.06371216842336, -89.52019344347542 43.06418362254031, -89.52086440961318 43.06426946516942, -89.52240125309031 43.06424642312559, -89.52297677705614 43.06423238835809, -89.52312370143862 43.06422880519703, -89.52311272022757 43.06456326138482, -89.52309046390496 43.06489741605501, -89.52276720461974 43.06770801011138, -89.52261716506892 43.06770959370645, -89.52232337524194 43.0677126944982, -89.51774858979935 43.06777965973255, -89.51759639107077 43.06778559415067, -89.51761361222063 43.06734887627114, -89.51763956939939 43.06683314982165, -89.51765991009917 43.06601781566575, -89.51762657764755 43.06583930145199, -89.51754353316983 43.06554894386023, -89.51742372556724 43.06513004765681, -89.51739027061663 43.06496682082513, -89.5173935758485 43.0645489328242))"
2,Cherokee Garden Condominium Association,4.698,14.877,386.019,749.331,9.396,6.264,10.962,6.264,20,"POLYGON ((-89.36767445463393 43.15143367451697, -89.36703114047698 43.1512791604386, -89.36694410234489 43.15128346771933, -89.36694609086319 43.150999925138, -89.36691939012259 43.15097466834037, -89.36681912037756 43.15086515459896, -89.36670257573378 43.15076656357296, -89.36657120226708 43.15069478339939, -89.36636176990011 43.15062845019644, -89.36614809460072 43.15058470498619, -89.36532975465559 43.15050983449821, -89.36491375563482 43.15047660201667, -89.36274010254877 43.15042174188638, -89.3627471118769 43.15028367264612, -89.36279159772251 43.14957832407748, -89.36279783196264 43.14947626160857, -89.36285019552362 43.14807610048571, -89.36288215652375 43.14735239223997, -89.36404752610692 43.14745773062393, -89.36421557696532 43.14746748188814, -89.36448230505427 43.14747492533463, -89.3647940165731 43.14748571564716, -89.36510314777395 43.14749141201456, -89.36611998960825 43.1475410638047, -89.36664426750288 43.14757002857238, -89.36704701937273 43.14763355266177, -89.36729729522141 43.14770498165037, -89.36741961907649 43.14775500152792, -89.36766627284022 43.1478558636271, -89.36776768456593 43.14791302619007, -89.36805843371033 43.14807691110116, -89.36839173733097 43.14821008168864, -89.36847962882332 43.14823694743074, -89.368701869931 43.14827308385613, -89.3691199314429 43.14830166359762, -89.37199837431113 43.14831021968515, -89.37202811558282 43.14855266298448, -89.3720729090322 43.14869824246193, -89.37219615906398 43.1489314529564, -89.37226149708749 43.14904862187482, -89.37247017953369 43.14942283415816, -89.37185737946349 43.14960448993211, -89.37115237680059 43.14981276023094, -89.37085176317103 43.15038535480855, -89.37061521181958 43.15161127413324, -89.37030366345277 43.152069495883, -89.36767445463393 43.15143367451697))"
3,Parkwood Hills Community Association,47.138,299.39,233.142,1114.75,25.48,63.7,26.754,43.316,868,"POLYGON ((-89.49942929230977 43.07524216711744, -89.49867169596607 43.07512504844805, -89.49828122314563 43.07523402571169, -89.4980715097395 43.07522600005355, -89.49613116755025 43.07521429543082, -89.4950299342311 43.07520763933371, -89.49403957981097 43.0752016421032, -89.49310212450898 43.07519595639509, -89.49256073657314 43.07519267018429, -89.49160987970525 43.07518689407917, -89.49120556370883 43.07518857325085, -89.48909842496438 43.0751972911433, -89.48843755018891 43.07520001746482, -89.48748843104735 43.0751815479705, -89.48725247518361 43.06798103404457, -89.48729797624165 43.06762068312937, -89.48747251611647 43.06752781364111, -89.48803363919239 43.06752581362726, -89.48853192058519 43.06752894368044, -89.48940243716042 43.06753440634316, -89.48975708711102 43.06751998675651, -89.49207865443668 43.06750967220609, -89.49270554289149 43.06750687913535, -89.49330421576923 43.06750420817244, -89.49333514663165 43.06614874934739, -89.49336887025771 43.06491435158581, -89.49337002174133 43.06477527575295, -89.49337611059869 43.0640417418053, -89.49349812186423 43.06289801916475, -89.49324497297697 43.06083702214644, -89.49778611127529 43.06091172131668, -89.49771215631424 43.06433284666162, -89.49769030809709 43.06533221903176, -89.49764975986132 43.06718688421869, -89.49844734180314 43.06753930720074, -89.49903707799494 43.06798846075887, -89.50239215799863 43.06798031784791, -89.50229054009358 43.07525529862342, -89.50223346639103 43.07650369000308, -89.50200263117785 43.07651247052241, -89.50170593741201 43.07648989715413, -89.5014025662 43.07642108216756, -89.50111335504086 43.07630327573566, -89.5009024471161 43.07617279533061, -89.50033156195617 43.07572656533998, -89.50012258411599 43.07557570294502, -89.49972819796936 43.07535833396988, -89.49942929230977 43.07524216711744))"
4,Richmond Hill Homeowners Association,18.17,103.885,43.845,336.935,20.935,14.22,7.11,15.405,80,"POLYGON ((-89.27166377653074 43.08017193320268, -89.27166319359614 43.08005191450043, -89.27188680595472 43.08012952186574, -89.27210056530693 43.08015860031863, -89.2722213690235 43.08014953624076, -89.27238419643565 43.08013732088863, -89.27261800183582 43.08006954472964, -89.27294144577476 43.07987764831717, -89.27341691015464 43.079545248215, -89.27384314784874 43.07924725716936, -89.27428999955185 43.07894349090579, -89.27511761838016 43.07836454998687, -89.27579714892708 43.07789388873749, -89.27599962516312 43.07772062657421, -89.27610250110207 43.07763259463675, -89.27628287378968 43.07740502481331, -89.2764431085252 43.07740106243427, -89.27660338793527 43.07739637350437, -89.27660787461365 43.07783097969882, -89.27660872344413 43.07791328982292, -89.27660957350486 43.07799559994736, -89.27661336939595 43.07836311782495, -89.27661705342349 43.07871981539616, -89.27661790350865 43.07880212460858, -89.27661875359604 43.07888443381984, -89.27662411221782 43.07940310703086, -89.2766282172658 43.07980038261303, -89.27663187325216 43.08015447425849, -89.27663272214687 43.08023678434827, -89.27663357227178 43.08031909443843, -89.27663641153507 43.08059390575458, -89.27663924452139 43.08086826699775, -89.27664207224272 43.08114175062046, -89.27664491425166 43.08141699034819, -89.27664779153693 43.08169549477957, -89.27665057007033 43.08196437067358, -89.27665328916545 43.08222775945367, -89.27665883308981 43.08263103404638, -89.27666177134806 43.08304881494752, -89.27666263151907 43.08313210161982, -89.27666349292259 43.08321538739236, -89.2766663989152 43.08349688010956, -89.276669872168 43.08383289633177, -89.27667495848748 43.08432533705395, -89.27667672909462 43.08449664676054, -89.27667703174663 43.08452546751794, -89.27667829656625 43.08464586499559, -89.27380636975732 43.08469279734763, -89.27168392987799 43.08475096182638, -89.27168079499397 43.08461841944401, -89.27168067245637 43.08458821185013, -89.27167921272739 43.08423187922467, -89.27167909229405 43.08420883914649, -89.27168164317921 43.08384701394574, -89.27167889043882 43.08328096649469, -89.27167734539044 43.08296351810366, -89.27167584539376 43.08265526250165, -89.27167392996029 43.08226088721402, -89.2716673749848 43.08091256784049, -89.27166722145513 43.08088148258535, -89.27166569737282 43.0805670557307, -89.27166377653074 43.08017193320268))"
5,"Hill Farms, University Neighborhood Association",138.274,558.98,603.11,2247.688,55.898,453.068,79.434,102.97,1911,"POLYGON ((-89.45556612348749 43.07141760122438, -89.45884301793825 43.07053735005299, -89.45883309424455 43.07025902961794, -89.45882550415328 43.0701409826072, -89.4585510654167 43.07014749229176, -89.45811778259778 43.07011725323054, -89.45767110566388 43.07005072091532, -89.45704137198581 43.06989475533194, -89.45560873229412 43.06941503474555, -89.4543640888819 43.06899916528712, -89.4545949190377 43.0685853496777, -89.45470395462229 43.06822527018299, -89.45471537187481 43.06793425176417, -89.45470482604581 43.06780632933717, -89.45365025291527 43.06790977388408, -89.45364617094745 43.06651842174355, -89.45364145600075 43.06491131270475, -89.45363803318463 43.06374501721947, -89.45335743675022 43.06351419377122, -89.45305604077964 43.06325864846768, -89.45306722216763 43.062951136515, -89.45320118211706 43.06288007939322, -89.45334222913867 43.06280526405094, -89.45338479038419 43.06235890059624, -89.45363383892067 43.06239230378402, -89.45362983961107 43.06094981894077, -89.45362539973506 43.06082746713182, -89.45411633142794 43.06084335320814, -89.4545264503238 43.0608494209775, -89.45502540304899 43.06086274009101, -89.45612846597034 43.06087703984846, -89.45756347795907 43.06089562573928, -89.45818818313428 43.06090371294999, -89.4587150728285 43.06090755339068, -89.46009638708303 43.06091761233926, -89.46113022547146 43.06092512878589, -89.46329738244013 43.06094085497759, -89.4641906313387 43.06093271073022, -89.46552171723383 43.06092535777694, -89.46604725788971 43.06091969406401, -89.46762964131874 43.0609026249489, -89.46844258643686 43.06089384837397, -89.46932233041761 43.06089132307793, -89.47214446051851 43.06088318590461, -89.47616877731947 43.06087145551368, -89.47842086004587 43.06084518034995, -89.47843668476692 43.06275070135118, -89.47843610336457 43.06326844803164, -89.47843467389656 43.06434801138901, -89.47843249039468 43.06600371801605, -89.47843358951499 43.06687070028995, -89.4784362405242 43.06731994531229, -89.4784349383568 43.06777850291422, -89.47797817453593 43.06795021502845, -89.47776328757415 43.06801086409793, -89.47749399589223 43.06804352692611, -89.47695655790719 43.06805042440334, -89.47579272438406 43.06806250456154, -89.47515747227197 43.06806904509091, -89.47463598264426 43.06807444902154, -89.47349480335987 43.06808138464281, -89.47232038067608 43.06808850976348, -89.47169308599123 43.06809069627896, -89.47019821864937 43.06804173522802, -89.46842446272808 43.06804639944966, -89.46842468258831 43.06898477890996, -89.46842495134811 43.07012392083841, -89.46842631625238 43.07131830772487, -89.46821386368808 43.07131992527595, -89.4670239429438 43.07134003213249, -89.46656622276639 43.0713457091319, -89.46598895592673 43.07114897979202, -89.46407543345586 43.07056618211332, -89.46357590570905 43.07059553245131, -89.46343057237755 43.07061022415328, -89.46345782638024 43.07084934654541, -89.46356058431326 43.07137857550228, -89.46357725633848 43.07143209050713, -89.46343256253584 43.07146053195192, -89.46266832842383 43.07156675392259, -89.45854264741222 43.07121921988286, -89.45607677761983 43.07186533354959, -89.45583852980042 43.07193168465956, -89.45534368728121 43.07148284947633, -89.45556612348749 43.07141760122438))"
6,Lake View Hill Neighborhood Association,65.56,262.24,153.768,827.248,181.184,45.296,32.184,106.088,504,"POLYGON ((-89.3723842065566 43.14137327179454, -89.37239606439853 43.14096073896276, -89.37241546299455 43.14028568147875, -89.37072881231569 43.14024591508585, -89.37074977027476 43.13970735378406, -89.36810952277274 43.13967960881548, -89.36801671394542 43.13971097454377, -89.36764687401673 43.13992217739904, -89.36746031870071 43.14004808591192, -89.36726511857719 43.14014330494894, -89.36709110321489 43.14021237898599, -89.36692935956614 43.14025087536884, -89.36673180792586 43.1402847970225, -89.36653452692578 43.14029245559463, -89.36316046461671 43.14024696572084, -89.36320345724232 43.13903886585405, -89.36326839512516 43.13721409597643, -89.36329116020373 43.1365743383442, -89.36332042698929 43.13575194802185, -89.36335341039729 43.13490558730481, -89.36340618417545 43.13357195068586, -89.36475193619475 43.13358668324231, -89.36590196340106 43.1335992598248, -89.36644248636597 43.13360516786144, -89.36707889968169 43.13361211954714, -89.3676876168531 43.13361865127486, -89.36824750066812 43.1336244033935, -89.36860840888065 43.13362729294449, -89.36872808723422 43.13361044424852, -89.36879569330631 43.1335861480901, -89.36881204897166 43.13358027000997, -89.36889044800704 43.13351066455665, -89.36914636866459 43.13320205968213, -89.36988524394681 43.13352333310423, -89.37001115742677 43.13357329710115, -89.37086005013168 43.13391014179489, -89.37305122965972 43.1347664837205, -89.37449733710545 43.13524519198395, -89.37683870049837 43.13601072956081, -89.37815522920333 43.13644060191636, -89.37999523399883 43.13704135660334, -89.38061166453328 43.13725463483698, -89.3818367171461 43.13767846839377, -89.38305683140371 43.13805728342826, -89.3830064131904 43.13953036624938, -89.38295252355552 43.14104247449393, -89.38049661821577 43.1410291437679, -89.37802497727397 43.1410156751225, -89.37688799043039 43.14100946040428, -89.37680539568397 43.14101273462989, -89.37672397665294 43.14102341341465, -89.376644963804 43.14104133253379, -89.3765695532698 43.14106622244139, -89.37649888964394 43.14109770646303, -89.37643404016671 43.14113530618525, -89.37637598734155 43.14117845405321, -89.37632561049735 43.14122649516288, -89.37586149222153 43.14173049625916, -89.37565919693213 43.1416418290427, -89.3753435219523 43.14153941754474, -89.37507520543784 43.14148104003785, -89.37475881687234 43.14144866093805, -89.37249470960214 43.14137492557059, -89.3723842065566 43.14137327179454))"
7,Sherman Neighborhood Association,223.965,555.66,311.85,2044.035,385.56,121.905,96.39,189.945,3164,"POLYGON ((-89.3543523322043 43.11317866690518, -89.35432369203185 43.11201465054745, -89.35433171397068 43.11125653539553, -89.35433471578919 43.11060755840108, -89.35433408197865 43.1100200953969, -89.35433374185946 43.1097051161675, -89.3543574883891 43.10854734257263, -89.35436609417084 43.10828898107274, -89.35436837662368 43.10807313550742, -89.35442026743459 43.1076825600243, -89.35445451124353 43.10745523100847, -89.35469363106134 43.10682787836127, -89.35926881385352 43.1068390458363, -89.35931769062972 43.10683904299309, -89.35950795522776 43.10613763478128, -89.35967091745158 43.10546500357662, -89.35986394840829 43.10473003776414, -89.35998086387688 43.10424035185481, -89.36010926998458 43.10377659573674, -89.36024767938351 43.10348101375835, -89.36053194733307 43.10302028827716, -89.36090623599375 43.10238979507908, -89.36135793384497 43.10166920862197, -89.36214317341694 43.10038608125432, -89.36236630127077 43.10003140628709, -89.36246859677014 43.0998121327039, -89.36253844965889 43.09960130124077, -89.36258246364545 43.09944456029976, -89.36263044048061 43.09914658691793, -89.362741487479 43.09865200350963, -89.36320780903822 43.09437681814003, -89.36327575545154 43.09411108886965, -89.36328197627462 43.09404578715246, -89.36337478337411 43.09342056992697, -89.3636060467971 43.09327793726563, -89.36358854704004 43.09376919996695, -89.36356113367451 43.09403950021738, -89.36347677064887 43.09487133067162, -89.36341748306472 43.09536329903525, -89.36339231947922 43.09557210194077, -89.36338854395518 43.09593400920129, -89.36344686299465 43.09625950061668, -89.36351440446919 43.09644084223914, -89.36363511431742 43.09670165558029, -89.3637860431175 43.09695580817419, -89.36388502289142 43.09714981198645, -89.36396867317841 43.09736721408089, -89.36404386548212 43.09760479202568, -89.36407592009449 43.09781489679497, -89.36409519096564 43.09810812368675, -89.36408332828852 43.09860291097528, -89.36404826528099 43.10006732844722, -89.36402716690493 43.1008077189128, -89.36398061942708 43.10255902270733, -89.36397847309721 43.10291597350809, -89.36397434669809 43.10311980670785, -89.36396985291437 43.10334186219627, -89.36394522281958 43.10439502629391, -89.36393182796769 43.10507158514211, -89.36389732966519 43.10682263802333, -89.36387702183396 43.1076278961457, -89.36384305549049 43.10945210292634, -89.36383615660716 43.10983967303913, -89.36401854183917 43.1101559906092, -89.36512655799659 43.11197715322056, -89.36513303492556 43.11198779829054, -89.3649435442118 43.11198594578304, -89.36379872170303 43.11196803340691, -89.36379436218488 43.11274416275353, -89.36379104239387 43.1133349995983, -89.36379111570113 43.11336903317638, -89.36379300588675 43.11424083312507, -89.36378391861464 43.11511235550021, -89.36378423874415 43.11541661960155, -89.36377194099525 43.11641317244788, -89.36376182705153 43.11771757240519, -89.3637375046 43.11891410366054, -89.3637279233162 43.11964987084834, -89.36371603983882 43.12041719498995, -89.36370917419146 43.12086064670731, -89.3637032093699 43.12124576099416, -89.36368886107121 43.12217233921165, -89.36367333125939 43.12317524738261, -89.36365751836948 43.12409299007855, -89.3636384364968 43.12496286662476, -89.36361303753488 43.12612041077166, -89.3636020752345 43.12662002126798, -89.36359024553573 43.12715918409839, -89.36354562414806 43.12919273043413, -89.36351192904844 43.13072825815773, -89.36278154204287 43.13042273096365, -89.36128167479845 43.12987458528529, -89.36044645482785 43.12956851027442, -89.35897997711622 43.1290283937845, -89.35824185626538 43.12875481538101, -89.35708067078613 43.1283143112412, -89.35683743630547 43.12821174379184, -89.35657126308945 43.12807690151705, -89.3562784163266 43.12783495370176, -89.35598445481241 43.12750636324117, -89.35579688092945 43.12716280667663, -89.35553676285519 43.12664759113878, -89.35515261533941 43.12570240211107, -89.35507903276931 43.12395991668329, -89.35505717396934 43.12343560057305, -89.35504630566243 43.12304179198334, -89.35503824815396 43.12271052359536, -89.35501143340574 43.12162766315875, -89.35502992219847 43.12025448718403, -89.35505884736544 43.1186693615953, -89.35505396108582 43.11777752788171, -89.35504709308121 43.11755913995401, -89.35503449813989 43.11734088997235, -89.35501108372361 43.11707201044797, -89.35497897867232 43.11680361275461, -89.35493820013467 43.11653584811118, -89.35488877263113 43.11626886683884, -89.35482077067806 43.11593599568162, -89.35473303904492 43.1154876395239, -89.35456458348703 43.11459135407576, -89.35436840680303 43.11336364173512, -89.35436066186949 43.11327451680452, -89.3543523322043 43.11317866690518))"
8,Sherman Village Neighborhood Association,136.98,452.034,440.619,1876.626,125.565,68.49,66.207,143.829,246,"POLYGON ((-89.36309886243677 43.14217135197647, -89.36312405146535 43.141610674679, -89.36314867356147 43.14106261180396, -89.36313891467543 43.14085244080803, -89.36314657009024 43.14063733818028, -89.36316046461671 43.14024696572084, -89.36653452692578 43.14029245559463, -89.36673180792586 43.1402847970225, -89.36692935956614 43.14025087536884, -89.36709110321489 43.14021237898599, -89.36726511857719 43.14014330494894, -89.36746031870071 43.14004808591192, -89.36764687401673 43.13992217739904, -89.36801671394542 43.13971097454377, -89.36810952277274 43.13967960881548, -89.37074977027476 43.13970735378406, -89.37072881231569 43.14024591508585, -89.37241546299455 43.14028568147875, -89.37239606439853 43.14096073896276, -89.3723842065566 43.14137327179454, -89.37249470960214 43.14137492557059, -89.37475881687234 43.14144866093805, -89.37507520543784 43.14148104003785, -89.3753435219523 43.14153941754474, -89.37565919693213 43.1416418290427, -89.37586149222153 43.14173049625916, -89.37632561049735 43.14122649516288, -89.37637598734155 43.14117845405321, -89.37643404016671 43.14113530618525, -89.37649888964394 43.14109770646303, -89.3765695532698 43.14106622244139, -89.376644963804 43.14104133253379, -89.37672397665294 43.14102341341465, -89.37680539568397 43.14101273462989, -89.37688799043039 43.14100946040428, -89.37802497727397 43.1410156751225, -89.38049661821577 43.1410291437679, -89.38049405335845 43.1411697686074, -89.38050064843448 43.14169728211699, -89.38053476574636 43.14186818495769, -89.38057075323249 43.14196774813394, -89.3806219539717 43.14210941858652, -89.38075717257311 43.1423290259378, -89.38115813997824 43.14286087215298, -89.38122860924871 43.14294880837819, -89.38151222252615 43.14330272266579, -89.38162358756868 43.14351782090854, -89.38163438210481 43.14363169343408, -89.38163105288608 43.14395998149921, -89.38157053573941 43.14580254647854, -89.38150685816728 43.14597578859084, -89.38178318698091 43.14604885228012, -89.38203373407428 43.1460939854561, -89.38242806286402 43.14610487916197, -89.38278982912948 43.14611184221576, -89.38272655355215 43.14776985607505, -89.38272041810239 43.14782930491479, -89.38270660868319 43.14788805893805, -89.38268525222901 43.14794558983299, -89.38265653959347 43.1480013783094, -89.38262946976603 43.14804298372568, -89.3825983049321 43.14808302426279, -89.38256321240968 43.14812128215355, -89.38252438163715 43.1481575522394, -89.38248202294558 43.14819164017015, -89.38243636264265 43.14822336060197, -89.38238764792584 43.14825254349972, -89.38233614196699 43.14827903143559, -89.38228212022312 43.14830268138737, -89.3822258753525 43.14832336654113, -89.38216770983914 43.14834097538809, -89.3821079359917 43.1483554135253, -89.38204687840283 43.14836660185615, -89.38198486288258 43.14837448108702, -89.38192222629465 43.14837900813053, -89.38185930426162 43.14838015880147, -89.37927077149217 43.14835789194539, -89.37554307439893 43.14832572388626, -89.37535552773026 43.14832410097874, -89.37199837431113 43.14831021968515, -89.3691199314429 43.14830166359762, -89.368701869931 43.14827308385613, -89.36847962882332 43.14823694743074, -89.36839173733097 43.14821008168864, -89.36805843371033 43.14807691110116, -89.36776768456593 43.14791302619007, -89.36766627284022 43.1478558636271, -89.36741961907649 43.14775500152792, -89.36729729522141 43.14770498165037, -89.36704701937273 43.14763355266177, -89.36664426750288 43.14757002857238, -89.36611998960825 43.1475410638047, -89.36510314777395 43.14749141201456, -89.3647940165731 43.14748571564716, -89.36448230505427 43.14747492533463, -89.36421557696532 43.14746748188814, -89.36404752610692 43.14745773062393, -89.36288215652375 43.14735239223997, -89.36288732080422 43.1471766324667, -89.36295136185102 43.14565795096768, -89.36303124478198 43.1437635656911, -89.36305156124492 43.14326681323776, -89.3630770530936 43.1426567941289, -89.36309886243677 43.14217135197647))"
9,Sauk Creek Neighborhood Association,57.624,238.728,119.364,818.055,36.015,120.393,20.58,33.957,352,"POLYGON ((-89.51635969935163 43.07441027327917, -89.51631689609005 43.07393082356719, -89.51620118999801 43.07394027520887, -89.51561746462809 43.07395792070915, -89.51452328109191 43.07362020668796, -89.5139747351124 43.07324386098146, -89.51390534177928 43.07329091188087, -89.5138006779116 43.07334397575191, -89.51366492499686 43.07337397492405, -89.51357450279308 43.07338378265069, -89.51344945721691 43.07337814963667, -89.51328643349552 43.0733417784841, -89.51282292251902 43.07318690285733, -89.51248022125357 43.07302490033285, -89.51237722123344 43.0729906704822, -89.5124097302544 43.0711624890264, -89.51246752257859 43.06785678805879, -89.51249719151552 43.06679737361532, -89.51253993462373 43.06527193579584, -89.51590643773918 43.06522162988569, -89.51634138392626 43.06557339114176, -89.5173868311074 43.06555743805429, -89.51754353316983 43.06554894386023, -89.51762657764755 43.06583930145199, -89.51765991009917 43.06601781566575, -89.51763956939939 43.06683314982165, -89.51761361222063 43.06734887627114, -89.51759639107077 43.06778559415067, -89.51774858979935 43.06777965973255, -89.52232337524194 43.0677126944982, -89.52261716506892 43.06770959370645, -89.52276720461974 43.06770801011138, -89.52218752063882 43.0727474465206, -89.52197431642625 43.07460071737074, -89.52194572200422 43.07495602826604, -89.52180365205041 43.0749562788811, -89.52102054649241 43.07495765694701, -89.51867391197273 43.07503116907601, -89.51700417009509 43.0750452833987, -89.51641683591974 43.07505024270094, -89.51635969935163 43.07441027327917))"
