"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"118","Wexford Village Homeowners Association","No","407.6","1231","60.7","2506","4.8","19.7","15.6","84.3","1.6","8.1","2.7","3.3","1164","658","22.5","1.8","1150","0","0","1992","6","362763","141.2","287270","167.7","306850","141.1","0","11","5","29",313,84,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",7,353,130,""N/A"",""N/A"",""N/A"","P,B","37.3","352",""N/A"","6.3"
"145","Oakbridge Community Neighborhood Association","No","44","162","73.2","343","5.1","19.7","6.5","81.5","3.7","10.1","1.8","2.9","159","97","26.2","4.1","145","0","0","1984","2","276191","141.5",""N/A"",""N/A"","262371.4","157.3","0","3","2","4",34,4,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",0,0,0,""N/A"",""N/A"",""N/A"","P,B,G","72.4","140",""N/A"","9.1"
"363","Cherokee Garden Condominium Association","No","62.9","558","97.1","783","0.6","1.9","49.3","95.7","1.2","0.8","1.4","0.8","508","210","2.2","1.1","627","0","0","1985","0",""N/A"",""N/A"","194133.3","121.6",""N/A"",""N/A"","0","1","0","2",187,61,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",1,28,12,""N/A"",""N/A"",""N/A"","None","100","20",""N/A"","7.9"
"131","Parkwood Hills Community Association","No","295.9","538","90","1274","3.7","23.5","18.3","87.5","2","5","2.1","3.4","521","390","28.9","1.9","469","0","0","1972","0","391221","132.5",""N/A"",""N/A"","378557.9","128.7","11","31","22","28",115,44,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",7,358,138,""N/A"",""N/A"",""N/A"","P,B,G","71.9","868",""N/A"","6"
"120","Richmond Hill Homeowners Association","No","63.6","144","89.5","395","4.6","26.3","11.1","85.3","5.3","3.6","1.8","3.9","142","113","39.1","4.2","139","0","0","1997","0","374235","120.8",""N/A"",""N/A"","351966.7","115.2","0","3","5","1",22,9,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",0,0,0,""N/A"",""N/A"",""N/A"","P,B,G","21.6","80",""N/A"","7.3"
"138","Hill Farms, University Neighborhood Association","No","486","1426","62","2942","4.7","19","20.5","76.4","1.9","15.4","2.7","3.5","1385","791","22.2","3.3","983","2","0","1960","16","379387","168.4","170225","137.4","377100","167.1","1","24","15","35",257,203,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",9,563,385,""N/A"",""N/A"",""N/A"","P,B","88.6","1911",""N/A"","7"
"91","Lake View Hill Neighborhood Association","No","245.8","514","71.9","1192","5.5","22","12.9","69.4","15.2","3.8","2.7","8.9","482","314","26.1","6.9","515","136","0","1961","16","217010","123.2","95200","110.2","209529.3","120.8","10","27","45","24",161,56,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",9,126,100,""N/A"",""N/A"",""N/A"","B,G","47.6","504",""N/A"","5.6"
"97","Sherman Neighborhood Association","No","502.1","1455","57.5","2835","7.9","19.6","11","72.1","13.6","4.3","3.4","6.7","1377","642","20.8","9.5","1450","261","0","1954","21","188534","146.9","121433.3","98.8","166156.3","151.3","27","245","229","161",640,290,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",10,318,261,""N/A"",""N/A"",""N/A"","P,B,G","94.2","3164",""N/A"","6.2"
"85","Sherman Village Neighborhood Association","No","311.8","1016","90.2","2283","6","19.8","19.3","82.2","5.5","3","2.9","6.3","979","613","21.3","3.7","1025","4","0","1966","13","199919","134.4","261273.2","139.9","185724.1","132.1","3","16","13","15",285,95,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",2,35,12,""N/A"",""N/A"",""N/A"","None","96.2","246",""N/A"","6.5"
"134","Sauk Creek Neighborhood Association","No","175.9","443","67.7","1029","5.6","23.2","11.6","79.5","3.5","11.7","2","3.3","430","279","29.6","3.3","459","0","0","1992","1","405926","129.4","179000","180.8","303357.1","128.6","1","11","5","19",60,24,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",1,51,0,""N/A"",""N/A"",""N/A"","P,B,G","86.9","352",""N/A"","7"
