,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,,7.0,11,30,21.0,10,4.0,2,9.0,9.0,14.0,10,7.0,9,3.0,15.0,,10,22.0,6,3.0,,24,8.0,10.0,4,9.0,3.0,9.0,21.0,,9,26,19.0,,8,,20,10.0,19.0,,2.0,16.0,5.0,20.0,5.0,3,16.0,6.0,3.0,12.0,19,1,6,4,2.0,13.0,5.0,9.0,16,13.0,,1.0,30.0,4.0,6,20,1.0,14.0,14.0,1.0,9.0,13.0,,4,19,3.0,7.0,9.0,4.0,1.0,7.0,10.0,3.0,0.06308333333333334
1,01:00-02:00,,3.0,4,7,1.0,8,2.0,11,,7.0,9.0,19,1.0,11,,,8.0,2,21.0,6,,5.0,12,8.0,1.0,17,,,2.0,,5.0,41,18,,,3,6.0,4,4.0,7.0,6.0,1.0,16.0,8.0,30.0,15.0,35,,2.0,2.0,16.0,4,2,13,15,8.0,7.0,12.0,31.0,3,6.0,,,2.0,5.0,1,1,16.0,11.0,4.0,8.0,2.0,,,5,6,2.0,,1.0,,1.0,,1.0,7.0,0.0465
2,02:00-03:00,2.0,,13,1,,3,10.0,3,11.0,,4.0,6,3.0,2,2.0,1.0,10.0,6,,23,,,6,1.0,2.0,1,6.0,5.0,4.0,,,15,23,5.0,12.0,3,14.0,15,17.0,3.0,10.0,,14.0,4.0,2.0,,11,1.0,5.0,1.0,3.0,6,8,18,10,5.0,13.0,11.0,3.0,8,15.0,4.0,3.0,5.0,,1,10,,8.0,,,,,,4,9,,,3.0,1.0,2.0,1.0,1.0,2.0,0.036166666666666666
3,03:00-04:00,1.0,,4,18,,6,,2,7.0,,,1,,2,,10.0,4.0,14,,3,4.0,,3,15.0,,6,1.0,1.0,,2.0,14.0,1,1,,9.0,3,10.0,8,2.0,,15.0,,,,5.0,1.0,4,1.0,,1.0,1.0,7,2,5,35,,,11.0,,2,6.0,5.0,,,1.0,18,7,9.0,,1.0,4.0,,3.0,,20,1,2.0,6.0,,6.0,,2.0,,,0.02775
4,04:00-05:00,3.0,25.0,24,1,19.0,5,,17,17.0,6.0,2.0,24,19.0,1,22.0,4.0,1.0,1,19.0,45,3.0,1.0,2,,9.0,15,9.0,,9.0,4.0,4.0,16,5,14.0,8.0,6,4.0,8,,12.0,12.0,2.0,,1.0,,13.0,16,6.0,2.0,,,2,28,24,9,2.0,3.0,,3.0,4,1.0,1.0,17.0,1.0,,12,6,,11.0,2.0,4.0,2.0,7.0,7.0,4,1,,1.0,,2.0,2.0,1.0,2.0,,0.04958333333333333
5,05:00-06:00,18.0,6.0,4,8,19.0,5,2.0,4,4.0,11.0,1.0,10,14.0,1,15.0,13.0,7.0,31,8.0,7,8.0,41.0,26,12.0,9.0,30,3.0,2.0,2.0,5.0,43.0,13,26,7.0,3.0,25,21.0,3,23.0,24.0,14.0,7.0,29.0,15.0,19.0,9.0,14,5.0,22.0,13.0,5.0,24,7,5,6,4.0,7.0,29.0,7.0,11,12.0,1.0,1.0,17.0,33.0,30,8,21.0,4.0,9.0,17.0,10.0,20.0,22.0,19,35,13.0,8.0,7.0,11.0,23.0,13.0,5.0,,0.09208333333333334
6,06:00-07:00,27.0,53.0,51,32,9.0,15,4.0,26,14.0,19.0,26.0,5,21.0,5,26.0,27.0,32.0,55,21.0,33,20.0,44.0,41,38.0,24.0,27,6.0,19.0,34.0,68.0,40.0,40,18,25.0,10.0,24,38.0,24,15.0,33.0,11.0,25.0,63.0,28.0,24.0,10.0,30,22.0,6.0,27.0,38.0,17,19,35,17,6.0,82.0,47.0,67.0,32,23.0,52.0,10.0,62.0,42.0,35,31,49.0,19.0,7.0,39.0,47.0,55.0,26.0,24,59,22.0,25.0,37.0,20.0,25.0,23.0,5.0,7.0,0.20325
7,07:00-08:00,22.0,58.0,74,71,34.0,45,28.0,65,72.0,74.0,61.0,33,34.0,39,52.0,21.0,30.0,64,82.0,132,21.0,67.0,60,74.0,55.0,31,117.0,19.0,43.0,89.0,50.0,46,76,76.0,23.0,42,67.0,60,31.0,28.0,67.0,69.0,101.0,62.0,81.0,39.0,52,87.0,31.0,49.0,61.0,62,74,39,103,27.0,87.0,98.0,47.0,22,21.0,76.0,16.0,36.0,95.0,60,53,24.0,88.0,15.0,79.0,47.0,53.0,40.0,8,116,26.0,59.0,67.0,47.0,62.0,26.0,20.0,10.0,0.38066666666666665
8,08:00-09:00,43.0,47.0,149,86,66.0,48,19.0,64,71.0,63.0,99.0,43,132.0,22,122.0,68.0,26.0,58,80.0,93,57.0,94.0,138,68.0,51.0,84,68.0,36.0,60.0,124.0,91.0,37,90,98.0,3.0,88,44.0,44,75.0,50.0,80.0,41.0,100.0,87.0,193.0,21.0,23,34.0,25.0,95.0,94.0,67,51,40,82,26.0,70.0,68.0,138.0,85,70.0,58.0,34.0,70.0,63.0,61,103,44.0,74.0,22.0,89.0,48.0,61.0,32.0,53,117,16.0,66.0,46.0,75.0,58.0,34.0,23.0,15.0,0.46258333333333335
9,09:00-10:00,88.0,67.0,151,75,46.0,208,12.0,130,71.0,136.0,101.0,69,208.0,67,116.0,87.0,56.0,152,74.0,318,64.0,111.0,134,79.0,35.0,51,155.0,32.0,33.0,64.0,82.0,90,33,190.0,47.0,136,192.0,45,112.0,91.0,161.0,31.0,130.0,141.0,53.0,44.0,48,231.0,22.0,87.0,79.0,76,57,98,185,21.0,172.0,65.0,114.0,54,71.0,305.0,66.0,128.0,60.0,69,57,49.0,219.0,15.0,96.0,68.0,60.0,64.0,50,351,32.0,46.0,47.0,88.0,60.0,50.0,100.0,17.0,0.6704166666666667
