,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,1,5,70.0,2,1.0,6,4.0,8,19.0,15.0,22.0,13,16.0,16.0,22,10,54,2.0,52.0,15.0,20.0,32.0,8.0,25,,12.0,6,13.0,1,6,12,31.0,9,22.0,17.0,12,12,10.0,15.0,11,8.0,38.0,6.0,30,7,19.0,25.0,30,11.0,12.0,5,13,16.0,19,6.0,19.0,12.0,10.0,15,33.0,8.0,6,6.0,5.0,19,9.0,15,7.0,25,2,17.0,18,3.0,,3.0,29,22.0,19.0,8,9.0,14,8.0,10.0,4.0,0.10225
1,01:00-02:00,10,23,3.0,33,2.0,1,7.0,1,3.0,,,8,,,1,7,6,,7.0,6.0,,7.0,3.0,3,,36.0,7,1.0,13,1,2,2.0,3,,,12,5,1.0,7.0,4,3.0,,1.0,10,7,1.0,4.0,18,6.0,10.0,9,6,4.0,9,21.0,1.0,1.0,4.0,11,,4.0,7,2.0,4.0,5,,1,28.0,2,2,,2,,2.0,10.0,8,1.0,10.0,1,13.0,10,10.0,2.0,1.0,0.03966666666666667
2,02:00-03:00,1,6,10.0,1,38.0,2,,1,1.0,6.0,4.0,12,8.0,,13,5,15,5.0,5.0,6.0,1.0,9.0,16.0,12,5.0,10.0,2,5.0,10,9,4,,1,9.0,2.0,9,12,,,2,1.0,4.0,10.0,5,5,,,10,,5.0,6,60,,4,2.0,,,19.0,9,,30.0,2,2.0,,2,3.0,1,,5,7,3.0,2,3.0,1.0,9.0,5,6.0,,3,7.0,2,,1.0,3.0,0.041166666666666664
3,03:00-04:00,4,4,,4,,2,,3,2.0,6.0,,1,13.0,,2,15,1,2.0,1.0,,5.0,,,18,13.0,5.0,8,4.0,4,4,7,2.0,2,8.0,,7,4,,6.0,6,5.0,1.0,,8,6,1.0,4.0,1,8.0,,11,2,,3,5.0,1.0,1.0,74.0,7,1.0,,28,1.0,11.0,12,25.0,4,,2,13,2.0,7,3.0,2.0,,4,,3.0,4,,1,2.0,5.0,,0.035916666666666666
4,04:00-05:00,2,11,40.0,3,,1,3.0,14,,15.0,,6,3.0,2.0,2,19,10,3.0,,13.0,2.0,15.0,1.0,4,,,3,,1,12,22,17.0,3,2.0,,1,4,7.0,10.0,1,,3.0,7.0,4,5,11.0,,6,2.0,6.0,1,6,3.0,2,,1.0,17.0,,4,3.0,1.0,5,,16.0,4,4.0,1,1.0,4,3,3.0,8,8.0,1.0,,9,2.0,3.0,6,2.0,3,5.0,,1.0,0.03525
5,05:00-06:00,11,28,19.0,37,4.0,2,6.0,9,1.0,20.0,13.0,13,18.0,3.0,14,8,18,3.0,7.0,11.0,2.0,31.0,33.0,18,9.0,6.0,19,1.0,11,32,41,26.0,28,20.0,1.0,30,14,13.0,35.0,15,9.0,10.0,19.0,32,23,9.0,31.0,18,1.0,9.0,11,32,14.0,27,21.0,8.0,32.0,11.0,26,11.0,31.0,5,,26.0,35,26.0,14,35.0,5,11,10.0,23,47.0,14.0,9.0,13,1.0,20.0,13,17.0,23,10.0,13.0,6.0,0.11591666666666667
6,06:00-07:00,58,33,43.0,96,42.0,7,12.0,37,54.0,51.0,67.0,38,10.0,5.0,101,52,47,63.0,64.0,52.0,38.0,96.0,67.0,78,28.0,58.0,28,41.0,58,53,57,65.0,81,14.0,35.0,49,31,52.0,36.0,34,52.0,65.0,48.0,40,83,77.0,54.0,17,19.0,79.0,57,52,46.0,52,18.0,30.0,63.0,108.0,55,31.0,93.0,14,35.0,56.0,51,67.0,105,166.0,22,30,66.0,56,56.0,34.0,114.0,79,35.0,43.0,45,65.0,39,20.0,11.0,21.0,0.35833333333333334
7,07:00-08:00,74,75,99.0,149,62.0,99,9.0,66,114.0,88.0,74.0,57,60.0,65.0,95,98,77,62.0,151.0,136.0,71.0,124.0,130.0,72,58.0,56.0,81,128.0,69,99,106,131.0,103,81.0,39.0,81,83,58.0,88.0,52,70.0,50.0,145.0,72,87,70.0,43.0,69,78.0,85.0,90,105,101.0,71,132.0,24.0,79.0,157.0,84,80.0,81.0,128,57.0,32.0,89,101.0,64,82.0,45,33,104.0,88,43.0,78.0,118.0,103,29.0,54.0,96,98.0,51,36.0,26.0,14.0,0.5635
8,08:00-09:00,94,87,146.0,121,63.0,160,48.0,98,79.0,105.0,71.0,95,163.0,38.0,111,111,136,143.0,112.0,115.0,77.0,157.0,144.0,134,105.0,72.0,157,97.0,128,121,135,92.0,143,74.0,62.0,164,61,131.0,78.0,151,102.0,44.0,170.0,165,125,136.0,118.0,77,74.0,203.0,170,132,78.0,84,45.0,47.0,122.0,85.0,121,93.0,124.0,83,49.0,101.0,259,87.0,152,62.0,93,79,101.0,130,48.0,100.0,66.0,112,35.0,62.0,104,120.0,101,48.0,51.0,34.0,0.7309166666666667
9,09:00-10:00,229,319,271.0,415,357.0,371,81.0,233,218.0,151.0,359.0,291,493.0,40.0,267,205,249,189.0,408.0,479.0,58.0,375.0,307.0,253,217.0,226.0,377,133.0,306,355,277,355.0,322,469.0,34.0,462,309,282.0,262.0,215,353.0,49.0,567.0,351,428,211.0,193.0,329,77.0,471.0,320,199,454.0,279,324.0,32.0,332.0,285.0,217,221.0,243.0,332,86.0,321.0,231,348.0,281,171.0,423,47,257.0,193,218.0,171.0,242.0,614,72.0,223.0,411,193.0,199,200.0,215.0,32.0,1.8861666666666668
