,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,1.0,8.0,56.0,6.0,22,61.0,1.0,5,22,,6.0,25.0,60.0,18.0,12.0,2,5.0,5.0,10,99,8,3.0,3.0,22,2.0,7.0,21.0,9.0,17.0,4,15,11.0,28.0,39.0,,3,2.0,10.0,,11.0,156.0,9,8.0,26.0,13.0,11.0,6.0,69,6.0,2.0,2.0,,2,9.0,80,16,,,2.0,3.0,6.0,75.0,7.0,4.0,1.0,9,,22.0,80.0,3.0,5.0,,1.0,4,26.0,90.0,1.0,14.0,19.0,6.0,4.0,1.0,18.0,9,0.122
1,01:00-02:00,,4.0,2.0,10.0,8,46.0,1.0,18,6,2.0,24.0,9.0,57.0,7.0,2.0,3,7.0,9.0,10,27,1,2.0,4.0,13,,,16.0,,16.0,5,1,,,52.0,3.0,5,,,6.0,,65.0,1,,1.0,,,,57,,3.0,14.0,5.0,3,,36,4,1.0,,,24.0,,22.0,2.0,,,10,13.0,,25.0,,,2.0,4.0,1,4.0,,8.0,1.0,2.0,4.0,1.0,,5.0,1,0.057916666666666665
2,02:00-03:00,,,,6.0,4,3.0,1.0,8,1,,5.0,19.0,42.0,,,8,,,3,23,8,4.0,2.0,4,13.0,1.0,63.0,,,10,11,7.0,6.0,1.0,4.0,4,2.0,1.0,9.0,,,6,12.0,10.0,4.0,4.0,7.0,12,,15.0,8.0,4.0,7,7.0,39,4,19.0,,3.0,26.0,,,,15.0,2.0,1,,,27.0,5.0,,,5.0,31,4.0,24.0,,,,,,1.0,4.0,3,0.0485
3,03:00-04:00,2.0,,18.0,,3,,1.0,4,9,2.0,,,,,4.0,2,1.0,10.0,18,1,3,,,3,13.0,1.0,,2.0,,1,2,5.0,4.0,53.0,,2,,10.0,,,7.0,1,10.0,,6.0,,,3,5.0,6.0,,8.0,2,2.0,6,10,3.0,3.0,,8.0,,5.0,2.0,,6.0,4,,10.0,8.0,7.0,,1.0,,1,11.0,,3.0,1.0,6.0,2.0,,2.0,,1,0.027
4,04:00-05:00,16.0,,3.0,8.0,10,,,6,1,17.0,2.0,1.0,3.0,6.0,35.0,5,4.0,17.0,1,8,4,,3.0,1,15.0,9.0,2.0,,,9,13,5.0,4.0,21.0,20.0,16,20.0,1.0,1.0,1.0,,8,15.0,6.0,12.0,8.0,,23,,3.0,,,3,,6,1,9.0,1.0,9.0,,,11.0,1.0,1.0,4.0,8,5.0,1.0,19.0,,4.0,6.0,,3,,2.0,,2.0,2.0,5.0,6.0,9.0,2.0,6,0.04075
5,05:00-06:00,18.0,22.0,21.0,,1,6.0,,8,16,32.0,11.0,1.0,4.0,,17.0,15,6.0,2.0,13,48,10,36.0,22.0,3,55.0,4.0,1.0,12.0,27.0,63,12,19.0,5.0,8.0,2.0,17,51.0,8.0,21.0,5.0,31.0,1,33.0,18.0,8.0,19.0,7.0,4,9.0,47.0,7.0,8.0,57,7.0,28,4,4.0,4.0,34.0,16.0,16.0,11.0,2.0,5.0,9.0,13,8.0,9.0,,,46.0,10.0,14.0,35,7.0,2.0,2.0,7.0,3.0,8.0,1.0,4.0,4.0,4,0.099
6,06:00-07:00,82.0,16.0,98.0,31.0,48,31.0,4.0,81,19,57.0,23.0,11.0,22.0,4.0,52.0,57,68.0,37.0,47,20,3,128.0,35.0,78,13.0,37.0,57.0,23.0,138.0,42,55,47.0,59.0,41.0,4.0,93,18.0,42.0,38.0,18.0,6.0,29,111.0,40.0,57.0,19.0,20.0,23,5.0,92.0,26.0,87.0,38,10.0,25,17,76.0,23.0,37.0,63.0,7.0,11.0,15.0,111.0,67.0,27,131.0,38.0,22.0,4.0,46.0,36.0,26.0,54,45.0,44.0,8.0,40.0,22.0,38.0,73.0,19.0,20.0,8,0.29108333333333336
7,07:00-08:00,26.0,59.0,48.0,47.0,51,39.0,9.0,107,52,41.0,32.0,19.0,45.0,13.0,92.0,75,20.0,127.0,42,67,38,136.0,59.0,31,37.0,27.0,45.0,11.0,127.0,50,35,57.0,71.0,49.0,19.0,136,78.0,57.0,57.0,27.0,72.0,12,90.0,77.0,49.0,26.0,34.0,61,27.0,102.0,58.0,42.0,57,55.0,53,18,52.0,46.0,47.0,49.0,73.0,68.0,24.0,84.0,68.0,23,77.0,61.0,48.0,9.0,20.0,52.0,51.0,48,37.0,100.0,34.0,26.0,37.0,42.0,25.0,13.0,23.0,25,0.35441666666666666
8,08:00-09:00,78.0,52.0,53.0,43.0,35,92.0,21.0,54,39,76.0,76.0,71.0,46.0,78.0,117.0,75,52.0,60.0,91,72,18,149.0,78.0,51,65.0,59.0,65.0,40.0,60.0,85,44,108.0,44.0,53.0,28.0,63,59.0,63.0,39.0,30.0,93.0,41,139.0,55.0,49.0,43.0,36.0,94,19.0,61.0,42.0,52.0,41,63.0,65,45,63.0,86.0,105.0,52.0,52.0,75.0,28.0,81.0,80.0,35,98.0,35.0,78.0,19.0,80.0,32.0,69.0,72,61.0,73.0,21.0,51.0,51.0,46.0,64.0,27.0,28.0,22,0.417
9,09:00-10:00,69.0,133.0,177.0,81.0,41,233.0,25.0,73,65,48.0,74.0,77.0,218.0,20.0,48.0,59,101.0,52.0,82,319,69,86.0,85.0,56,46.0,55.0,284.0,24.0,51.0,56,125,48.0,63.0,231.0,30.0,51,76.0,47.0,60.0,78.0,295.0,18,91.0,187.0,37.0,39.0,38.0,240,30.0,140.0,119.0,45.0,29,46.0,209,40,107.0,47.0,63.0,48.0,94.0,286.0,14.0,55.0,74.0,77,41.0,44.0,221.0,6.0,69.0,57.0,67.0,25,35.0,360.0,13.0,65.0,47.0,56.0,66.0,28.0,120.0,11,0.6179166666666667
10,10:00-11:00,137.0,458.0,355.0,310.0,329,345.0,23.0,290,379,258.0,239.0,562.0,411.0,95.0,348.0,203,279.0,293.0,296,472,50,411.0,291.0,269,315.0,335.0,510.0,21.0,221.0,388,381,354.0,325.0,285.0,25.0,296,399.0,312.0,273.0,284.0,295.0,30,466.0,350.0,430.0,156.0,407.0,383,25.0,210.0,457.0,282.0,372,404.0,403,18,259.0,327.0,327.0,301.0,375.0,376.0,33.0,341.0,299.0,338,225.0,368.0,390.0,41.0,255.0,263.0,301.0,148,294.0,593.0,25.0,334.0,166.0,163.0,325.0,295.0,262.0,25,1.997
11,11:00-12:00,320.0,480.0,491.0,322.0,383,477.0,57.0,482,429,341.0,355.0,355.0,490.0,20.0,535.0,361,381.0,291.0,330,711,41,517.0,567.0,324,286.0,382.0,583.0,27.0,291.0,446,359,372.0,352.0,290.0,29.0,464,419.0,339.0,270.0,462.0,428.0,58,577.0,516.0,495.0,333.0,450.0,354,16.0,397.0,389.0,431.0,407,358.0,401,14,386.0,347.0,350.0,209.0,340.0,479.0,25.0,449.0,511.0,467,331.0,404.0,381.0,13.0,320.0,267.0,331.0,234,319.0,553.0,20.0,701.0,174.0,297.0,348.0,332.0,297.0,12,2.4126666666666665
12,12:00-13:00,277.0,590.0,393.0,321.0,314,381.0,17.0,468,327,284.0,312.0,283.0,474.0,50.0,344.0,408,321.0,263.0,502,513,53,326.0,405.0,296,229.0,288.0,416.0,30.0,222.0,334,349,321.0,357.0,344.0,2.0,384,319.0,310.0,266.0,389.0,451.0,19,479.0,441.0,454.0,285.0,324.0,388,32.0,257.0,340.0,426.0,361,375.0,432,10,360.0,337.0,261.0,206.0,323.0,317.0,15.0,319.0,360.0,366,370.0,355.0,364.0,27.0,341.0,320.0,297.0,242,291.0,480.0,48.0,606.0,179.0,230.0,285.0,263.0,284.0,86,2.124
13,13:00-14:00,252.0,335.0,430.0,419.0,363,491.0,10.0,312,293,256.0,227.0,437.0,367.0,40.0,255.0,247,342.0,252.0,376,587,32,445.0,409.0,389,415.0,292.0,321.0,25.0,243.0,355,397,360.0,554.0,399.0,6.0,293,209.0,386.0,377.0,342.0,384.0,12,397.0,477.0,401.0,207.0,293.0,369,57.0,474.0,307.0,407.0,323,488.0,445,8,333.0,373.0,292.0,165.0,478.0,348.0,59.0,397.0,387.0,471,423.0,435.0,437.0,35.0,393.0,314.0,334.0,269,325.0,459.0,4.0,507.0,240.0,128.0,328.0,344.0,283.0,18,2.1806666666666668
14,14:00-15:00,255.0,328.0,507.0,493.0,587,588.0,12.0,346,263,359.0,305.0,604.0,460.0,19.0,291.0,262,343.0,264.0,394,459,35,525.0,438.0,310,340.0,405.0,414.0,30.0,233.0,375,478,355.0,391.0,356.0,13.0,355,411.0,334.0,299.0,290.0,502.0,44,400.0,409.0,351.0,280.0,371.0,341,19.0,318.0,365.0,286.0,282,377.0,368,5,330.0,302.0,274.0,309.0,309.0,382.0,22.0,256.0,397.0,399,304.0,302.0,355.0,10.0,250.0,369.0,311.0,172,353.0,371.0,19.0,545.0,279.0,264.0,315.0,312.0,300.0,20,2.1729166666666666
