,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,9.0,9,33,24,3.0,20,21,12.0,53,15,6,2,13,10.0,14,10,15,17.0,42,27,20,31,24,19.0,7.0,19,18,16,20,15,5,16,17,13.0,27,28,23,28,14,20,12,30.0,45,24,7.0,6,6,26.0,41.0,7,7,6.0,19,18,13,12,9,53,2,13.0,10.0,21.0,67.0,15,35,14,10.0,24.0,,18,20.0,20,30.0,7,6,25.0,23.0,57,198,136,49,94,17,37,0.16866666666666666
1,01:00-02:00,6.0,12,7,16,8.0,14,6,2.0,14,4,3,2,18,35.0,24,8,8,5.0,10,9,17,16,4,12.0,18.0,14,10,9,4,15,4,15,20,10.0,2,15,28,4,9,3,18,3.0,21,7,8.0,1,6,6.0,19.0,1,4,5.0,16,12,11,5,6,10,5,4.0,,13.0,18.0,1,32,10,5.0,2.0,33.0,5,9.0,1,1.0,4,2,3.0,35.0,12,74,23,48,29,11,12,0.08258333333333333
2,02:00-03:00,4.0,2,4,8,39.0,26,9,,7,1,9,3,8,5.0,8,17,3,,16,5,5,6,3,,,1,27,6,1,9,26,10,3,,5,7,8,10,1,6,15,,27,15,8.0,2,3,4.0,9.0,8,23,,5,5,6,3,14,11,3,,,,5.0,1,13,10,4.0,12.0,7.0,20,5.0,14,6.0,3,9,3.0,,15,56,33,16,57,3,22,0.06525
3,03:00-04:00,3.0,3,14,9,3.0,16,7,4.0,9,8,6,9,1,,10,5,1,5.0,3,1,6,13,7,9.0,1.0,6,1,9,4,4,5,8,15,1.0,8,2,2,3,4,7,1,1.0,19,19,,1,1,,,1,5,14.0,10,2,1,9,10,12,3,1.0,3.0,2.0,,7,16,7,,,1.0,17,,2,,5,1,13.0,14.0,9,8,10,7,4,15,4,0.04058333333333333
4,04:00-05:00,,10,15,18,,4,1,4.0,12,1,10,5,1,5.0,4,16,6,9.0,7,5,10,7,13,4.0,15.0,2,2,7,4,3,20,8,3,2.0,1,5,6,7,5,1,1,1.0,12,7,5.0,5,5,3.0,3.0,6,3,11.0,11,4,2,3,2,6,4,6.0,23.0,2.0,15.0,3,16,6,35.0,2.0,10.0,17,13.0,7,8.0,13,8,,12.0,10,31,9,16,7,4,12,0.05308333333333334
5,05:00-06:00,36.0,20,78,37,4.0,1,4,14.0,15,16,30,3,8,34.0,38,27,11,21.0,12,12,1,47,40,15.0,35.0,2,16,25,33,36,16,79,5,18.0,11,33,14,35,39,3,64,29.0,41,13,32.0,22,8,53.0,12.0,43,18,11.0,39,5,21,4,26,26,21,51.0,29.0,45.0,33.0,19,13,16,42.0,15.0,31.0,1,20.0,17,38.0,52,7,47.0,21.0,27,56,35,34,26,19,11,0.17641666666666667
6,06:00-07:00,41.0,51,97,72,46.0,57,25,44.0,66,47,127,63,31,39.0,29,48,91,37.0,59,49,72,97,84,83.0,86.0,50,42,30,46,82,74,102,104,109.0,27,76,73,75,79,39,82,16.0,95,94,64.0,86,34,48.0,25.0,65,32,70.0,59,20,68,11,34,73,107,77.0,31.0,81.0,38.0,67,111,89,81.0,29.0,50.0,16,114.0,75,49.0,52,46,66.0,23.0,102,85,101,104,41,63,22,0.4370833333333333
7,07:00-08:00,90.0,72,134,87,72.0,94,17,126.0,72,80,115,87,142,76.0,103,97,79,118.0,123,121,42,157,90,75.0,84.0,56,88,49,207,106,153,134,65,49.0,62,127,113,85,92,62,79,93.0,129,106,95.0,89,69,114.0,31.0,132,106,77.0,117,50,92,50,139,101,69,49.0,58.0,46.0,35.0,104,124,172,92.0,40.0,75.0,21,126.0,123,78.0,88,75,126.0,70.0,158,121,178,177,91,90,78,0.6611666666666667
8,08:00-09:00,192.0,145,187,124,97.0,133,38,172.0,179,89,161,136,270,76.0,250,130,154,155.0,124,189,93,359,142,147.0,186.0,92,146,59,217,187,194,197,187,148.0,69,228,135,152,187,119,187,38.0,287,174,228.0,135,59,136.0,53.0,141,136,148.0,107,114,123,30,169,196,119,83.0,97.0,130.0,87.0,158,128,174,150.0,80.0,183.0,39,165.0,138,100.0,81,133,186.0,27.0,234,180,248,176,205,167,100,1.0228333333333333
9,09:00-10:00,276.0,401,631,480,342.0,488,78,390.0,405,452,551,497,357,54.0,409,493,311,452.0,424,568,97,529,470,307.0,484.0,525,407,64,445,369,460,470,568,565.0,87,465,344,292,361,387,583,82.0,647,531,424.0,334,478,449.0,26.0,420,361,346.0,314,296,557,27,447,292,432,289.0,375.0,337.0,101.0,343,382,320,410.0,190.0,421.0,56,361.0,217,360.0,325,199,360.0,110.0,490,352,429,304,261,157,63,2.5010833333333333
