,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,,,41.0,10.0,19.0,6.0,,8.0,5.0,6.0,4.0,3.0,8.0,,1.0,,9.0,3.0,1.0,2.0,2.0,12.0,14.0,1.0,2.0,4,7.0,1.0,3.0,9.0,1.0,21.0,33.0,4.0,6.0,5.0,11.0,1,18.0,5.0,9.0,13.0,2.0,11.0,10.0,6.0,35.0,15.0,,3.0,2.0,1,7.0,1.0,,7.0,9.0,6,4.0,12,,36.0,3.0,10,10,,,9.0,,2.0,,,2.0,2.0,3.0,13.0,,13.0,85.0,39,34.0,60.0,31.0,2.0,0.06608333333333333
1,01:00-02:00,,4.0,29.0,1.0,,,,3.0,,5.0,,8.0,,,,,4.0,,,3.0,,,,4.0,2.0,12,24.0,,2.0,12.0,32.0,,,,7.0,,,7,16.0,,7.0,,2.0,,13.0,2.0,2.0,,,,1.0,1,1.0,2.0,8.0,4.0,,15,3.0,22,4.0,,,1,6,1.0,1.0,14.0,,,,6.0,,2.0,2.0,,,2.0,57.0,12,7.0,34.0,55.0,1.0,0.03858333333333333
2,02:00-03:00,1.0,1.0,3.0,1.0,4.0,,,,14.0,1.0,6.0,,,,1.0,,7.0,,2.0,4.0,,2.0,2.0,2.0,,12,14.0,,1.0,3.0,6.0,6.0,11.0,5.0,,8.0,,2,5.0,,,24.0,1.0,,2.0,5.0,47.0,5.0,,,2.0,7,,3.0,1.0,2.0,,43,2.0,4,12.0,1.0,1.0,4,3,1.0,,,,,,,1.0,2.0,5.0,,,,,2,,,,2.0,0.0255
3,03:00-04:00,,2.0,8.0,1.0,,7.0,,,9.0,,,5.0,3.0,,3.0,1.0,,2.0,,,,3.0,,,1.0,4,,,1.0,,,,,,,2.0,,11,,2.0,,,,,3.0,,3.0,,,,,34,15.0,7.0,2.0,2.0,5.0,4,,3,,8.0,5.0,3,1,1.0,,,,,5.0,,2.0,,4.0,2.0,3.0,,2.0,10,,,1.0,,0.015833333333333335
4,04:00-05:00,7.0,,,,1.0,1.0,6.0,,8.0,,,7.0,1.0,,7.0,,5.0,,1.0,13.0,,4.0,8.0,,6.0,9,1.0,3.0,,1.0,11.0,4.0,,,,9.0,1.0,2,17.0,,,,1.0,,,,,,,1.0,4.0,1,3.0,,,,,7,,7,1.0,4.0,,5,2,3.0,,5.0,,4.0,6.0,,8.0,1.0,,,,3.0,2.0,1,4.0,2.0,,,0.017333333333333333
5,05:00-06:00,,1.0,7.0,14.0,7.0,15.0,3.0,,7.0,23.0,9.0,3.0,47.0,47.0,19.0,18.0,3.0,11.0,,31.0,,9.0,3.0,6.0,1.0,4,6.0,,12.0,5.0,14.0,4.0,11.0,61.0,2.0,18.0,8.0,1,6.0,,2.0,1.0,11.0,2.0,9.0,8.0,,7.0,2.0,18.0,5.0,4,37.0,7.0,12.0,1.0,19.0,5,14.0,63,2.0,2.0,,20,13,25.0,10.0,,10.0,,32.0,5.0,4.0,18.0,1.0,3.0,3.0,3.0,2.0,6,9.0,4.0,,,0.06958333333333333
6,06:00-07:00,17.0,27.0,17.0,47.0,28.0,6.0,7.0,18.0,40.0,47.0,26.0,30.0,28.0,2.0,27.0,35.0,17.0,46.0,24.0,82.0,10.0,50.0,26.0,98.0,12.0,11,84.0,,7.0,153.0,44.0,36.0,26.0,53.0,8.0,31.0,31.0,54,19.0,40.0,67.0,10.0,56.0,61.0,24.0,71.0,5.0,41.0,10.0,35.0,16.0,11,22.0,13.0,89.0,1.0,76.0,4,25.0,119,26.0,25.0,13.0,51,12,45.0,58.0,14.0,39.0,9.0,57.0,90.0,142.0,6.0,8.0,111.0,34.0,10.0,17.0,20,24.0,24.0,11.0,2.0,0.24733333333333332
7,07:00-08:00,65.0,47.0,84.0,74.0,28.0,27.0,1.0,58.0,25.0,75.0,54.0,26.0,42.0,16.0,79.0,51.0,20.0,49.0,110.0,63.0,74.0,155.0,62.0,45.0,75.0,52,56.0,9.0,39.0,25.0,84.0,53.0,49.0,74.0,103.0,65.0,39.0,130,59.0,42.0,64.0,9.0,49.0,75.0,71.0,57.0,6.0,58.0,14.0,70.0,66.0,57,44.0,39.0,55.0,8.0,36.0,70,55.0,61,43.0,71.0,45.0,43,38,36.0,65.0,38.0,29.0,13.0,48.0,62.0,67.0,57.0,43.0,67.0,16.0,28.0,25.0,29,37.0,8.0,12.0,6.0,0.3478333333333333
8,08:00-09:00,25.0,46.0,70.0,113.0,34.0,41.0,8.0,55.0,38.0,17.0,103.0,16.0,80.0,26.0,73.0,47.0,79.0,62.0,38.0,88.0,35.0,137.0,93.0,34.0,33.0,45,72.0,18.0,75.0,61.0,71.0,74.0,68.0,17.0,32.0,97.0,103.0,76,61.0,30.0,86.0,17.0,81.0,40.0,112.0,52.0,50.0,48.0,114.0,56.0,64.0,55,56.0,23.0,146.0,115.0,71.0,61,39.0,83,40.0,34.0,29.0,87,91,45.0,62.0,16.0,44.0,49.0,32.0,20.0,37.0,50.0,62.0,119.0,58.0,32.0,38.0,62,41.0,33.0,43.0,18.0,0.40016666666666667
9,09:00-10:00,46.0,52.0,63.0,29.0,38.0,152.0,13.0,74.0,136.0,32.0,67.0,33.0,187.0,16.0,119.0,52.0,46.0,41.0,74.0,185.0,21.0,118.0,87.0,130.0,69.0,44,218.0,28.0,123.0,96.0,67.0,86.0,95.0,261.0,20.0,52.0,59.0,50,68.0,77.0,355.0,6.0,219.0,69.0,69.0,96.0,51.0,149.0,45.0,74.0,64.0,78,56.0,72.0,408.0,9.0,39.0,39,99.0,42,85.0,114.0,26.0,38,112,90.0,68.0,60.0,261.0,19.0,65.0,41.0,79.0,33.0,46.0,260.0,16.0,34.0,40.0,68,30.0,24.0,74.0,2.0,0.579
