,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,6.0,4.0,7.0,5.0,1.0,11.0,1.0,2.0,1.0,1.0,7.0,1.0,13.0,2,8.0,2.0,4.0,,,15.0,21.0,14.0,3.0,12.0,2.0,1.0,7.0,4.0,2.0,,2.0,14.0,3.0,2.0,1.0,1,4.0,2.0,,3.0,7.0,2.0,2.0,12.0,5.0,6.0,1.0,9.0,1.0,1.0,1.0,15.0,17.0,6.0,1.0,1.0,11.0,6.0,17.0,2.0,8.0,8.0,3.0,2.0,11.0,6.0,5.0,,24.0,5.0,2.0,10.0,9.0,,1.0,17.0,6.0,,3.0,,,3.0,3.0,2.0,0.03666666666666667
1,01:00-02:00,14.0,4.0,,,1.0,,,,2.0,1.0,,,2.0,3,1.0,8.0,1.0,,2.0,11.0,,,20.0,,,2.0,,,1.0,,1.0,2.0,,,2.0,2,5.0,,8.0,5.0,,1.0,,,,,1.0,,4.0,,1.0,,2.0,,,,3.0,,,,1.0,,,,7.0,1.0,1.0,10.0,,,2.0,1.0,1.0,,1.0,12.0,,1.0,,,,1.0,1.0,,0.0125
2,02:00-03:00,,,2.0,,,,,5.0,2.0,,1.0,8.0,3.0,4,1.0,,,,2.0,1.0,,3.0,,1.0,,1.0,,5.0,1.0,2.0,1.0,4.0,7.0,8.0,5.0,3,,,1.0,,12.0,,3.0,,1.0,,,1.0,,5.0,,10.0,8.0,,1.0,1.0,,5.0,,3.0,6.0,9.0,1.0,3.0,,1.0,1.0,6.0,,11.0,1.0,3.0,2.0,30.0,,3.0,1.0,2.0,2.0,,,,,,0.016916666666666667
3,03:00-04:00,1.0,9.0,,2.0,,,4.0,,2.0,,,,,1,,,1.0,,,,,20.0,,,5.0,,,2.0,,1.0,1.0,,,,1.0,4,,,22.0,,17.0,2.0,1.0,,2.0,9.0,,,2.0,2.0,,,,3.0,,5.0,15.0,,6.0,1.0,,,,2.0,,,,,,,,1.0,4.0,,2.0,2.0,,,,,,1.0,1.0,,0.012833333333333334
4,04:00-05:00,1.0,17.0,1.0,12.0,,5.0,4.0,3.0,,14.0,3.0,11.0,1.0,3,,,,4.0,,6.0,,,2.0,,1.0,3.0,,1.0,,,,1.0,4.0,,,1,1.0,1.0,4.0,,6.0,,,,,,12.0,,1.0,,,,7.0,4.0,,4.0,4.0,,,10.0,4.0,,5.0,4.0,,2.0,1.0,3.0,1.0,,5.0,,,1.0,,,5.0,2.0,2.0,,1.0,,,,0.015666666666666666
5,05:00-06:00,11.0,7.0,26.0,16.0,7.0,13.0,,25.0,4.0,4.0,9.0,8.0,10.0,2,11.0,1.0,18.0,9.0,11.0,,3.0,38.0,2.0,7.0,6.0,10.0,11.0,6.0,11.0,18.0,6.0,12.0,9.0,3.0,3.0,5,12.0,8.0,10.0,6.0,2.0,1.0,22.0,5.0,,10.0,6.0,15.0,18.0,2.0,5.0,7.0,7.0,1.0,23.0,7.0,1.0,10.0,,4.0,,7.0,1.0,3.0,1.0,8.0,9.0,1.0,4.0,6.0,12.0,7.0,13.0,4.0,27.0,8.0,15.0,8.0,5.0,1.0,3.0,1.0,1.0,,0.05575
6,06:00-07:00,15.0,13.0,31.0,44.0,10.0,13.0,1.0,15.0,6.0,44.0,35.0,62.0,18.0,5,30.0,50.0,32.0,33.0,19.0,35.0,32.0,31.0,32.0,31.0,19.0,15.0,11.0,15.0,26.0,8.0,31.0,42.0,30.0,14.0,28.0,13,9.0,24.0,25.0,21.0,61.0,9.0,75.0,16.0,35.0,44.0,17.0,32.0,17.0,38.0,14.0,37.0,21.0,17.0,15.0,11.0,19.0,16.0,29.0,20.0,30.0,44.0,37.0,44.0,2.0,16.0,26.0,9.0,39.0,,19.0,35.0,18.0,42.0,49.0,15.0,7.0,5.0,5.0,20.0,27.0,11.0,3.0,17.0,0.16925
7,07:00-08:00,37.0,42.0,132.0,72.0,55.0,40.0,8.0,34.0,12.0,35.0,86.0,58.0,16.0,17,50.0,40.0,39.0,39.0,62.0,63.0,15.0,73.0,36.0,42.0,32.0,29.0,38.0,28.0,53.0,45.0,40.0,79.0,61.0,36.0,10.0,59,23.0,23.0,69.0,21.0,71.0,34.0,58.0,75.0,41.0,43.0,50.0,35.0,41.0,57.0,40.0,22.0,63.0,18.0,44.0,18.0,69.0,46.0,58.0,55.0,60.0,39.0,24.0,86.0,99.0,41.0,22.0,44.0,34.0,12.0,46.0,19.0,39.0,67.0,53.0,25.0,29.0,17.0,17.0,28.0,18.0,11.0,7.0,5.0,0.2940833333333333
8,08:00-09:00,56.0,60.0,82.0,37.0,37.0,74.0,22.0,93.0,15.0,109.0,84.0,27.0,83.0,20,55.0,50.0,139.0,43.0,56.0,88.0,27.0,54.0,39.0,49.0,43.0,59.0,50.0,15.0,83.0,51.0,89.0,48.0,31.0,93.0,34.0,106,43.0,25.0,33.0,32.0,61.0,29.0,78.0,64.0,54.0,15.0,30.0,74.0,18.0,52.0,68.0,53.0,65.0,51.0,64.0,27.0,44.0,26.0,31.0,19.0,22.0,86.0,47.0,47.0,54.0,96.0,51.0,21.0,50.0,18.0,107.0,38.0,25.0,46.0,48.0,124.0,26.0,23.0,7.0,36.0,36.0,14.0,19.0,9.0,0.35058333333333336
9,09:00-10:00,57.0,59.0,112.0,39.0,42.0,135.0,12.0,36.0,44.0,28.0,31.0,46.0,227.0,51,48.0,18.0,26.0,48.0,20.0,258.0,69.0,98.0,53.0,51.0,50.0,67.0,196.0,23.0,70.0,47.0,44.0,29.0,93.0,227.0,22.0,77,36.0,13.0,28.0,77.0,286.0,29.0,71.0,35.0,51.0,34.0,25.0,180.0,22.0,71.0,35.0,92.0,43.0,44.0,243.0,47.0,70.0,53.0,121.0,40.0,39.0,185.0,29.0,42.0,30.0,90.0,42.0,65.0,182.0,36.0,47.0,15.0,35.0,23.0,27.0,183.0,23.0,61.0,19.0,38.0,44.0,13.0,72.0,14.0,0.47108333333333335
10,10:00-11:00,76.0,171.0,129.0,44.0,174.0,309.0,14.0,202.0,105.0,169.0,30.0,215.0,272.0,13,108.0,107.0,245.0,24.0,211.0,380.0,38.0,184.0,159.0,145.0,92.0,160.0,505.0,40.0,142.0,201.0,222.0,32.0,197.0,172.0,19.0,296,177.0,196.0,39.0,143.0,234.0,37.0,356.0,379.0,348.0,29.0,188.0,248.0,13.0,216.0,209.0,222.0,41.0,217.0,357.0,45.0,150.0,130.0,171.0,23.0,134.0,213.0,19.0,138.0,163.0,331.0,34.0,161.0,168.0,39.0,227.0,141.0,263.0,25.0,153.0,289.0,79.0,181.0,92.0,103.0,17.0,96.0,173.0,13.0,1.0851666666666666
11,11:00-12:00,70.0,223.0,148.0,33.0,201.0,260.0,14.0,126.0,232.0,168.0,66.0,168.0,330.0,23,115.0,166.0,118.0,37.0,250.0,442.0,87.0,159.0,281.0,87.0,24.0,164.0,210.0,38.0,123.0,184.0,126.0,26.0,276.0,262.0,25.0,168,119.0,124.0,37.0,191.0,268.0,34.0,365.0,310.0,198.0,32.0,216.0,213.0,20.0,275.0,136.0,171.0,59.0,312.0,207.0,25.0,110.0,258.0,109.0,43.0,141.0,179.0,28.0,181.0,221.0,173.0,33.0,129.0,255.0,52.0,123.0,258.0,161.0,26.0,207.0,303.0,24.0,205.0,217.0,89.0,20.0,151.0,184.0,11.0,1.05275
12,12:00-13:00,127.0,260.0,190.0,33.0,196.0,339.0,14.0,124.0,181.0,80.0,20.0,155.0,334.0,25,182.0,200.0,131.0,56.0,220.0,495.0,33.0,202.0,214.0,182.0,42.0,173.0,334.0,16.0,155.0,108.0,202.0,24.0,167.0,171.0,20.0,165,142.0,167.0,16.0,213.0,256.0,72.0,253.0,172.0,177.0,18.0,237.0,189.0,10.0,146.0,166.0,151.0,41.0,312.0,181.0,35.0,149.0,171.0,116.0,21.0,208.0,169.0,19.0,172.0,175.0,183.0,13.0,80.0,208.0,39.0,152.0,147.0,166.0,52.0,170.0,256.0,18.0,341.0,54.0,76.0,5.0,134.0,188.0,14.0,1.0016666666666667
13,13:00-14:00,175.0,165.0,203.0,78.0,218.0,306.0,22.0,204.0,155.0,113.0,14.0,207.0,306.0,36,210.0,111.0,169.0,38.0,204.0,340.0,26.0,120.0,199.0,116.0,49.0,172.0,173.0,20.0,110.0,102.0,226.0,25.0,291.0,272.0,13.0,167,65.0,175.0,33.0,284.0,329.0,24.0,252.0,237.0,180.0,20.0,175.0,200.0,14.0,251.0,133.0,179.0,40.0,228.0,283.0,18.0,154.0,125.0,137.0,88.0,251.0,230.0,85.0,155.0,124.0,171.0,40.0,207.0,130.0,78.0,147.0,117.0,202.0,20.0,214.0,323.0,27.0,428.0,74.0,99.0,21.0,126.0,169.0,13.0,1.0358333333333334
14,14:00-15:00,149.0,249.0,253.0,50.0,248.0,253.0,10.0,217.0,204.0,183.0,27.0,205.0,333.0,21,272.0,170.0,189.0,21.0,327.0,306.0,25.0,169.0,154.0,176.0,32.0,294.0,252.0,2.0,128.0,144.0,215.0,13.0,304.0,255.0,32.0,231,95.0,157.0,29.0,210.0,275.0,49.0,307.0,178.0,211.0,87.0,195.0,188.0,26.0,221.0,140.0,217.0,61.0,308.0,271.0,18.0,167.0,138.0,160.0,16.0,147.0,311.0,18.0,220.0,126.0,119.0,26.0,216.0,232.0,20.0,181.0,178.0,165.0,11.0,233.0,352.0,6.0,235.0,96.0,128.0,26.0,187.0,203.0,15.0,1.1073333333333333
15,15:00-16:00,153.0,227.0,259.0,28.0,251.0,368.0,29.0,211.0,156.0,186.0,6.0,207.0,418.0,18,142.0,178.0,171.0,31.0,327.0,311.0,9.0,295.0,208.0,109.0,13.0,160.0,163.0,23.0,124.0,162.0,240.0,3.0,323.0,184.0,31.0,200,157.0,261.0,35.0,245.0,335.0,18.0,209.0,180.0,273.0,16.0,174.0,274.0,16.0,182.0,157.0,265.0,21.0,280.0,358.0,30.0,234.0,172.0,138.0,20.0,203.0,304.0,21.0,177.0,139.0,226.0,86.0,177.0,204.0,15.0,225.0,200.0,267.0,7.0,205.0,466.0,18.0,288.0,67.0,147.0,10.0,234.0,210.0,13.0,1.1569166666666666
16,16:00-17:00,193.0,299.0,299.0,51.0,458.0,354.0,17.0,240.0,176.0,167.0,18.0,334.0,387.0,49,147.0,218.0,227.0,7.0,421.0,478.0,18.0,252.0,207.0,221.0,37.0,320.0,267.0,11.0,264.0,212.0,259.0,31.0,318.0,232.0,10.0,177,228.0,195.0,12.0,297.0,317.0,27.0,353.0,278.0,299.0,8.0,219.0,314.0,3.0,175.0,150.0,218.0,17.0,382.0,370.0,24.0,355.0,198.0,261.0,3.0,316.0,281.0,9.0,229.0,274.0,290.0,75.0,345.0,321.0,33.0,237.0,148.0,177.0,28.0,254.0,438.0,32.0,309.0,124.0,156.0,14.0,258.0,174.0,2.0,1.3835833333333334
17,17:00-18:00,92.0,136.0,291.0,16.0,352.0,3.0,17.0,203.0,156.0,212.0,10.0,388.0,26.0,15,242.0,202.0,156.0,31.0,466.0,13.0,59.0,157.0,214.0,169.0,40.0,332.0,22.0,4.0,137.0,204.0,254.0,77.0,362.0,19.0,17.0,161,149.0,254.0,6.0,288.0,20.0,11.0,207.0,182.0,300.0,11.0,308.0,14.0,15.0,189.0,229.0,207.0,9.0,323.0,21.0,9.0,243.0,214.0,241.0,18.0,442.0,19.0,19.0,211.0,184.0,227.0,31.0,348.0,2.0,8.0,131.0,181.0,136.0,4.0,274.0,16.0,12.0,208.0,138.0,133.0,8.0,219.0,2.0,9.0,0.97375
18,18:00-19:00,88.0,102.0,109.0,23.0,14.0,2.0,8.0,154.0,94.0,131.0,38.0,8.0,6.0,38,124.0,120.0,186.0,17.0,30.0,17.0,17.0,182.0,194.0,196.0,12.0,3.0,5.0,11.0,84.0,178.0,169.0,30.0,22.0,21.0,22.0,165,199.0,195.0,23.0,29.0,9.0,25.0,221.0,197.0,241.0,27.0,2.0,12.0,14.0,206.0,135.0,158.0,12.0,3.0,9.0,17.0,153.0,136.0,200.0,14.0,7.0,22.0,13.0,165.0,192.0,184.0,14.0,18.0,1.0,10.0,85.0,185.0,108.0,50.0,10.0,7.0,3.0,73.0,46.0,82.0,8.0,8.0,5.0,32.0,0.5154166666666666
19,19:00-20:00,53.0,96.0,172.0,16.0,7.0,14.0,5.0,99.0,88.0,81.0,39.0,35.0,20.0,33,168.0,91.0,178.0,10.0,18.0,36.0,14.0,186.0,198.0,148.0,14.0,26.0,11.0,36.0,114.0,212.0,161.0,54.0,10.0,12.0,19.0,290,169.0,162.0,6.0,19.0,2.0,18.0,256.0,163.0,286.0,12.0,33.0,30.0,8.0,151.0,121.0,185.0,21.0,10.0,19.0,36.0,153.0,97.0,125.0,12.0,11.0,8.0,28.0,123.0,111.0,113.0,29.0,6.0,10.0,53.0,100.0,78.0,78.0,8.0,6.0,22.0,23.0,166.0,80.0,114.0,19.0,4.0,3.0,19.0,0.5058333333333334
20,20:00-21:00,14.0,13.0,39.0,40.0,13.0,4.0,7.0,11.0,31.0,26.0,36.0,16.0,2.0,17,15.0,34.0,7.0,18.0,21.0,8.0,53.0,45.0,19.0,16.0,39.0,16.0,18.0,32.0,41.0,5.0,19.0,44.0,31.0,6.0,27.0,22,13.0,14.0,33.0,14.0,28.0,11.0,26.0,13.0,19.0,19.0,5.0,6.0,25.0,28.0,14.0,20.0,11.0,17.0,2.0,22.0,46.0,12.0,11.0,21.0,16.0,12.0,40.0,21.0,17.0,25.0,30.0,18.0,19.0,10.0,13.0,24.0,53.0,23.0,13.0,7.0,29.0,6.0,15.0,42.0,10.0,5.0,5.0,12.0,0.14166666666666666
21,21:00-22:00,14.0,31.0,105.0,15.0,9.0,15.0,52.0,58.0,29.0,56.0,14.0,36.0,20.0,62,23.0,32.0,20.0,33.0,47.0,14.0,29.0,25.0,15.0,15.0,17.0,20.0,4.0,25.0,44.0,25.0,30.0,23.0,24.0,15.0,22.0,6,6.0,20.0,39.0,13.0,19.0,60.0,55.0,26.0,26.0,5.0,7.0,51.0,49.0,38.0,36.0,26.0,10.0,1.0,17.0,16.0,58.0,40.0,15.0,19.0,22.0,2.0,24.0,60.0,53.0,44.0,26.0,6.0,4.0,30.0,13.0,14.0,18.0,8.0,13.0,22.0,21.0,1.0,6.0,1.0,19.0,4.0,2.0,17.0,0.1755
22,22:00-23:00,9.0,44.0,9.0,16.0,,7.0,10.0,1.0,6.0,,12.0,23.0,12.0,13,7.0,37.0,6.0,21.0,18.0,12.0,18.0,13.0,23.0,7.0,6.0,8.0,23.0,9.0,6.0,8.0,29.0,28.0,19.0,4.0,20.0,19,43.0,19.0,10.0,8.0,3.0,24.0,22.0,22.0,33.0,33.0,12.0,13.0,16.0,18.0,15.0,19.0,23.0,9.0,11.0,10.0,9.0,8.0,8.0,31.0,,29.0,9.0,19.0,16.0,6.0,2.0,19.0,5.0,22.0,7.0,11.0,1.0,17.0,7.0,7.0,13.0,2.0,3.0,3.0,6.0,1.0,1.0,4.0,0.09433333333333334
