,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,2,19.0,17,31,6.0,2.0,13.0,1,2.0,,19.0,1,13,8.0,13,21,1,24.0,2.0,4,2.0,9.0,46.0,13,12.0,5,,1.0,8.0,14.0,28,40.0,5.0,3,4.0,23.0,9,20.0,13,5.0,10,2.0,13,18.0,7.0,7.0,43.0,7,7.0,3,4,12,18,22.0,6.0,5.0,41.0,12,12.0,23,7.0,27.0,10.0,35.0,7.0,28,10,9.0,2,5,9,8.0,45.0,24,15,12.0,4,2.0,11,3,12,5.0,14.0,4,0.08658333333333333
1,01:00-02:00,6,6.0,28,7,4.0,5.0,,2,11.0,,15.0,4,4,30.0,31,1,8,,,6,,9.0,13.0,4,1.0,9,10.0,,,6.0,5,,7.0,3,1.0,,1,1.0,7,1.0,4,,6,32.0,9.0,,15.0,1,6.0,12,1,4,23,7.0,12.0,9.0,2.0,4,15.0,5,4.0,18.0,1.0,,22.0,7,15,1.0,10,7,4,,,13,2,3.0,11,9.0,7,2,2,1.0,1.0,3,0.04633333333333333
2,02:00-03:00,17,13.0,3,2,,4.0,9.0,4,,12.0,2.0,6,1,10.0,1,7,4,,14.0,1,7.0,18.0,2.0,7,,3,7.0,5.0,6.0,,26,2.0,4.0,8,6.0,,2,,2,,3,1.0,17,2.0,,4.0,24.0,4,4.0,5,1,4,11,2.0,3.0,5.0,,12,,2,,,2.0,7.0,12.0,1,56,1.0,2,8,17,11.0,5.0,2,2,16.0,3,,7,1,10,1.0,,10,0.04108333333333333
3,03:00-04:00,1,5.0,13,4,,,,3,7.0,6.0,,1,2,,3,1,4,3.0,7.0,5,6.0,,,4,,3,2.0,21.0,21.0,4.0,3,,,7,3.0,6.0,4,2.0,12,2.0,6,3.0,55,,2.0,18.0,,6,,7,10,3,4,,,,39.0,5,8.0,22,,7.0,7.0,4.0,,1,17,,23,2,2,6.0,,1,1,,3,19.0,13,3,20,,2.0,3,0.04058333333333333
4,04:00-05:00,22,,1,32,21.0,13.0,1.0,5,6.0,13.0,7.0,9,4,3.0,27,15,1,30.0,21.0,2,6.0,29.0,9.0,6,10.0,12,30.0,1.0,8.0,5.0,5,9.0,3.0,5,,23.0,3,28.0,4,9.0,6,2.0,60,6.0,8.0,11.0,7.0,6,5.0,86,13,5,13,23.0,4.0,1.0,16.0,3,4.0,11,,2.0,,45.0,13.0,5,8,2.0,6,4,103,7.0,2.0,8,20,16.0,4,11.0,9,6,7,2.0,2.0,2,0.08433333333333333
5,05:00-06:00,32,28.0,28,18,5.0,11.0,5.0,61,49.0,39.0,24.0,13,15,11.0,72,24,11,18.0,28.0,18,17.0,96.0,42.0,23,23.0,11,42.0,19.0,47.0,40.0,27,56.0,26.0,6,9.0,109.0,44,44.0,84,13.0,22,16.0,27,22.0,14.0,22.0,35.0,8,11.0,24,35,39,7,2.0,32.0,16.0,27.0,53,8.0,17,8.0,11.0,3.0,46.0,19.0,52,27,9.0,5,5,31,3.0,15.0,35,11,33.0,25,21.0,4,17,16,4.0,1.0,15,0.17841666666666667
6,06:00-07:00,48,68.0,102,60,26.0,28.0,23.0,80,48.0,21.0,50.0,47,66,27.0,121,57,48,40.0,75.0,76,24.0,182.0,76.0,84,69.0,68,76.0,25.0,98.0,67.0,94,104.0,95.0,46,28.0,140.0,72,33.0,76,30.0,54,22.0,110,115.0,107.0,20.0,47.0,41,16.0,98,48,57,53,42.0,56.0,35.0,75.0,66,105.0,36,59.0,26.0,32.0,42.0,96.0,63,64,31.0,34,12,100,66.0,59.0,79,23,59.0,23,96.0,62,115,31,35.0,12.0,10,0.4191666666666667
7,07:00-08:00,64,130.0,133,116,46.0,44.0,27.0,88,88.0,69.0,79.0,74,65,28.0,146,125,84,82.0,55.0,143,93.0,140.0,113.0,125,54.0,56,97.0,23.0,138.0,152.0,126,129.0,75.0,122,38.0,113.0,118,87.0,88,72.0,88,48.0,159,165.0,118.0,63.0,53.0,58,48.0,211,100,89,108,100.0,69.0,44.0,110.0,95,99.0,89,62.0,61.0,56.0,141.0,145.0,101,114,75.0,205,87,129,92.0,58.0,61,47,154.0,34,78.0,84,75,66,38.0,37.0,28,0.63225
8,08:00-09:00,74,128.0,190,105,79.0,98.0,50.0,129,74.0,91.0,79.0,110,135,51.0,184,157,129,92.0,81.0,134,80.0,252.0,136.0,109,67.0,160,129.0,52.0,90.0,143.0,124,76.0,112.0,110,42.0,136.0,109,83.0,103,37.0,131,59.0,232,156.0,171.0,138.0,79.0,131,38.0,160,105,77,126,103.0,129.0,36.0,150.0,219,82.0,81,85.0,104.0,84.0,163.0,143.0,82,142,104.0,107,67,183,100.0,81.0,120,93,139.0,68,126.0,104,70,55,91.0,71.0,37,0.7618333333333334
9,09:00-10:00,233,317.0,299,200,313.0,240.0,30.0,350,205.0,215.0,282.0,335,432,29.0,321,297,190,290.0,341.0,661,89.0,381.0,292.0,358,287.0,256,459.0,37.0,295.0,354.0,281,481.0,317.0,361,54.0,473.0,485,328.0,282,309.0,347,71.0,487,475.0,465.0,310.0,398.0,303,70.0,367,325,373,387,381.0,431.0,83.0,293.0,343,247.0,249,350.0,347.0,104.0,359.0,352.0,407,258,348.0,306,28,370,306.0,424.0,212,353,497.0,83,1477.0,299,250,284,247.0,290.0,28,2.1785833333333335
