,Timeslot,Mondays1,Tuesdays1,Wednesdays1,Thursdays1,Fridays1,Saturdays1,Sundays1,Mondays2,Tuesdays2,Wednesdays2,Thursdays2,Fridays2,Saturdays2,Sundays2,Mondays3,Tuesdays3,Wednesdays3,Thursdays3,Fridays3,Saturdays3,Sundays3,Mondays4,Tuesdays4,Wednesdays4,Thursdays4,Fridays4,Saturdays4,Sundays4,Mondays5,Tuesdays5,Wednesdays5,Thursdays5,Fridays5,Saturdays5,Sundays5,Mondays6,Tuesdays6,Wednesdays6,Thursdays6,Fridays6,Saturdays6,Sundays6,Mondays7,Tuesdays7,Wednesdays7,Thursdays7,Fridays7,Saturdays7,Sundays7,Mondays8,Tuesdays8,Wednesdays8,Thursdays8,Fridays8,Saturdays8,Sundays8,Mondays9,Tuesdays9,Wednesdays9,Thursdays9,Fridays9,Saturdays9,Sundays9,Mondays10,Tuesdays10,Wednesdays10,Thursdays10,Fridays10,Saturdays10,Sundays10,Mondays11,Tuesdays11,Wednesdays11,Thursdays11,Fridays11,Saturdays11,Sundays11,Mondays12,Tuesdays12,Wednesdays12,Thursdays12,Fridays12,Saturdays12,Sundays12,Avg(thousand)
0,00:00-01:00,15,30,55,20,12,38,19,13,15,18,25,26,21,11.0,43,26,52,11,31,25,35,21,30,17,16,25,15,16.0,22,10,52.0,27,34.0,12.0,7,12,20,43,14,14,40,10,63,40,72,21,21,27,,30.0,33,35.0,50,10,23,7,16.0,28,26,57,26,37,23,17,26,23.0,27,54.0,12.0,5,69,20,14,9,11,55,9,14,270,110,125,178,171,20,0.24016666666666667
1,01:00-02:00,4,21,19,24,13,6,2,5,15,16,25,7,17,8.0,7,6,6,17,3,6,3,2,22,2,10,3,9,,3,19,9.0,17,,,3,14,11,32,3,1,16,6,7,28,17,22,14,7,21.0,7.0,7,9.0,8,21,8,7,,7,12,1,1,4,2,12,11,13.0,5,5.0,,8,10,12,5,7,21,26,4,28,171,56,44,167,44,9,0.10666666666666667
2,02:00-03:00,20,25,10,3,2,2,12,7,9,17,15,2,24,10.0,6,9,5,2,2,7,1,6,13,44,5,2,11,3.0,5,14,,2,4.0,6.0,11,3,2,19,1,7,5,4,5,2,8,39,9,11,1.0,,1,2.0,4,4,15,15,1.0,14,10,6,2,17,18,10,7,,3,7.0,,6,5,2,9,9,18,13,7,1,119,16,42,125,108,6,0.08783333333333333
3,03:00-04:00,13,12,12,19,12,8,2,4,14,5,3,2,3,,1,8,8,20,16,25,1,29,7,12,8,11,2,6.0,23,20,3.0,16,13.0,,12,17,12,21,9,7,3,2,4,10,3,1,3,2,,6.0,5,,4,6,11,1,16.0,6,9,10,1,19,4,14,5,6.0,14,6.0,14.0,9,8,4,38,7,7,27,2,10,7,5,1,1,8,1,0.06133333333333333
4,04:00-05:00,12,16,18,14,14,5,15,14,13,50,11,14,14,1.0,15,4,23,8,9,15,16,18,41,15,31,8,19,3.0,23,5,42.0,22,3.0,17.0,8,29,25,20,16,2,16,27,12,7,23,19,7,18,3.0,19.0,15,6.0,23,6,8,4,41.0,10,54,9,22,13,2,29,21,41.0,14,,3.0,3,25,13,7,17,12,17,6,15,16,24,15,3,4,4,0.10841666666666666
5,05:00-06:00,14,26,42,94,37,23,8,43,45,38,57,19,30,11.0,58,24,28,74,41,27,13,45,28,28,60,15,18,11.0,25,41,64.0,56,28.0,15.0,37,26,25,46,62,24,47,24,77,48,82,39,15,35,11.0,25.0,36,26.0,26,15,69,24,49.0,35,19,33,6,85,54,72,24,47.0,41,12.0,28.0,10,22,36,34,46,28,48,11,13,12,24,33,12,11,12,0.2385
6,06:00-07:00,52,120,68,72,50,71,34,98,86,78,119,82,110,41.0,139,80,111,99,107,86,56,226,112,71,119,55,79,34.0,189,150,150.0,147,112.0,51.0,37,86,112,97,100,78,72,48,153,116,99,58,65,78,63.0,131.0,134,66.0,139,74,113,59,107.0,129,90,68,41,80,77,133,94,85.0,84,98.0,54.0,11,91,118,65,118,85,101,46,39,65,87,79,47,31,26,0.6150833333333333
7,07:00-08:00,143,167,159,176,244,115,59,215,134,123,151,196,199,127.0,218,87,148,161,189,362,68,298,265,164,184,132,150,97.0,190,225,196.0,184,185.0,113.0,87,228,189,152,155,141,226,91,326,221,187,141,172,141,93.0,193.0,227,139.0,244,180,189,144,190.0,197,248,137,103,195,202,163,231,256.0,241,149.0,161.0,98,212,321,101,162,145,167,132,167,165,149,141,117,77,25,1.1951666666666667
8,08:00-09:00,168,231,239,239,212,173,84,195,213,174,159,160,283,82.0,241,193,192,167,340,341,126,312,232,227,178,167,253,138.0,210,212,242.0,271,304.0,147.0,138,269,158,201,147,115,267,103,321,246,280,171,175,296,100.0,262.0,187,181.0,185,178,200,168,203.0,188,159,191,109,232,160,349,229,340.0,297,159.0,207.0,188,176,144,113,89,174,294,96,2059,136,178,146,87,138,81,1.53125
9,09:00-10:00,344,706,526,595,523,660,73,479,375,611,471,611,699,118.0,541,437,555,564,676,972,163,649,611,517,442,532,734,166.0,498,594,631.0,597,658.0,679.0,163,720,527,604,692,510,804,153,1104,1016,820,478,658,713,97.0,671.0,534,541.0,616,724,793,87,503.0,662,512,374,450,729,145,473,562,549.0,528,403.0,744.0,119,507,451,517,389,443,961,108,436,287,326,324,223,258,42,3.5880833333333335
10,10:00-11:00,518,796,744,897,868,874,109,740,531,572,565,1103,1036,197.0,878,566,777,645,1028,1460,116,878,900,723,450,717,996,112.0,541,681,895.0,943,1082.0,890.0,79,1010,688,825,711,1057,1080,92,995,924,1041,608,934,883,63.0,1047.0,705,721.0,880,1093,1124,114,954.0,689,737,521,654,895,138,895,630,781.0,760,692.0,904.0,96,702,559,817,499,864,1347,97,474,428,426,437,338,265,76,4.848083333333333
11,11:00-12:00,558,913,987,950,994,1174,86,945,557,767,683,1018,1428,114.0,784,662,618,555,1036,1758,158,951,847,720,753,852,1146,89.0,642,746,831.0,788,1051.0,1130.0,68,846,721,904,527,881,1193,115,1232,951,946,585,1045,1243,92.0,1132.0,926,772.0,943,1011,1210,80,810.0,712,685,511,921,1171,99,678,783,994.0,765,736.0,1074.0,82,665,561,806,528,823,1560,63,672,570,439,474,522,278,70,5.2305
12,12:00-13:00,502,792,804,779,796,1396,98,730,623,689,644,757,1562,141.0,693,540,638,649,853,1089,117,780,759,540,592,772,884,87.0,500,594,812.0,718,606.0,924.0,108,748,796,717,639,727,935,139,1344,849,879,629,633,854,81.0,850.0,729,717.0,708,849,1113,59,645.0,680,445,360,632,1071,104,767,646,677.0,687,678.0,781.0,83,722,544,614,515,649,1434,111,541,340,398,383,403,452,90,4.50125
13,13:00-14:00,439,778,675,846,732,1142,1131,789,653,485,472,805,1070,977.0,789,662,628,655,992,1146,1208,866,645,619,605,671,914,620.0,459,768,632.0,862,756.0,547.0,498,777,572,841,741,824,1251,32,1100,1020,784,566,699,1019,55.0,897.0,754,793.0,1044,952,917,98,717.0,540,731,419,713,763,832,564,797,717.0,560,594.0,886.0,766,667,795,593,560,613,1341,842,610,445,377,437,325,374,333,5.01525
14,14:00-15:00,612,706,828,833,926,1309,1168,661,668,621,658,899,1421,866.0,736,725,582,614,889,1168,1396,827,665,545,686,805,1016,715.0,516,602,705.0,753,740.0,902.0,620,739,705,703,823,894,1204,101,1129,947,975,657,834,1126,79.0,874.0,618,750.0,1106,971,1165,99,766.0,444,649,490,609,1070,829,775,656,728.0,678,727.0,808.0,969,713,559,707,565,887,1341,993,669,430,431,470,439,280,316,5.323333333333333
15,15:00-16:00,632,939,919,932,999,1390,1330,834,787,664,735,970,1416,1145.0,998,522,651,788,1173,1457,1515,1087,870,674,787,758,879,697.0,736,696,915.0,1021,966.0,907.0,694,1039,842,795,906,844,1515,86,1159,1072,1167,596,842,1138,71.0,913.0,931,733.0,987,843,1292,85,749.0,816,840,633,762,1232,1028,787,918,804.0,778,656.0,1068.0,1063,877,834,1105,617,775,1506,1182,923,485,592,642,565,434,455,6.122083333333333
16,16:00-17:00,701,1141,883,912,1186,1849,1811,1145,774,854,809,1142,1415,1608.0,913,989,842,902,1375,1792,1923,1205,1176,645,878,1031,1251,1152.0,872,838,1055.0,1129,1130.0,1007.0,754,1049,840,820,656,828,1759,130,1232,1006,1053,710,923,1358,91.0,1154.0,953,859.0,951,1078,1793,64,987.0,1007,780,715,1059,1394,1202,1044,1135,892.0,1107,804.0,1645.0,1033,1233,917,883,775,1081,1752,1390,1363,658,510,747,782,699,396,7.198833333333333
17,17:00-18:00,704,821,764,1007,897,82,39,841,578,875,692,820,135,42.0,899,746,857,801,1128,89,63,997,1099,668,819,783,65,101.0,489,778,897.0,842,964.0,70.0,22,1009,784,825,591,928,74,82,1112,1259,953,530,900,97,94.0,828.0,858,642.0,877,863,101,83,891.0,948,990,658,973,46,71,681,1003,935.0,803,733.0,57.0,85,763,872,725,365,782,53,112,1147,469,536,634,586,632,74,4.299
18,18:00-19:00,452,563,672,638,468,35,27,610,473,699,571,811,26,53.0,776,722,631,600,818,32,83,809,834,687,538,726,60,76.0,476,739,693.0,741,794.0,7.0,126,742,523,784,510,685,45,56,832,1020,754,491,627,61,97.0,710.0,841,579.0,750,760,45,84,690.0,645,532,523,602,43,125,764,643,710.0,693,533.0,42.0,42,547,582,443,361,569,52,67,683,413,485,466,537,471,72,3.366416666666667
19,19:00-20:00,312,502,602,651,339,35,91,626,440,561,378,453,40,67.0,578,576,568,650,536,71,131,677,919,501,628,439,54,59.0,448,607,756.0,892,695.0,26.0,82,832,633,818,679,473,60,77,1154,885,825,542,536,25,95.0,793.0,701,539.0,742,626,36,87,736.0,646,557,542,535,34,101,698,664,613.0,478,338.0,44.0,53,620,360,486,413,375,86,99,940,460,359,515,568,526,188,3.1818333333333335
20,20:00-21:00,324,384,477,615,251,65,98,442,471,342,310,379,102,45.0,387,439,403,414,458,80,111,626,571,450,351,420,83,140.0,374,600,684.0,593,532.0,41.0,76,533,640,617,674,470,67,92,703,704,714,455,440,87,79.0,437.0,565,456.0,640,533,73,104,444.0,481,284,475,398,77,79,365,522,467.0,408,352.0,28.0,184,397,401,349,264,337,72,101,619,275,286,694,573,570,166,2.5740833333333333
21,21:00-22:00,79,207,122,96,44,113,41,95,56,79,78,65,31,119.0,163,115,78,104,88,113,92,220,130,48,66,78,109,56.0,53,75,125.0,98,55.0,46.0,82,167,87,80,67,82,50,101,122,125,130,50,72,44,81.0,177.0,77,67.0,103,91,55,64,200.0,73,94,154,102,63,131,48,92,60.0,122,56.0,29.0,126,71,62,62,45,103,31,131,712,327,188,304,496,497,341,0.81925
